2018.02.10.22.51.47
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 7,3,139,29.77 | Score: 0.95626265;
Key: 15,3,192,15.53 | Score: 0.9305355;
Key: 8,3,242,21.45 | Score: 0.9510135;
Key: 4,3,79,2.68 | Score: 0.9438394;
Key: 14,3,339,16.0 | Score: 0.89685583;
Key: 14,3,212,11.9 | Score: 0.92823267;
Key: 20,3,251,1.34 | Score: 0.8397763;
Key: 15,3,340,16.76 | Score: 0.88113254;
Key: 13,3,154,29.22 | Score: 0.93448377;
Key: 3,3,316,8.33 | Score: 0.9530721;
Key: 16,3,444,2.38 | Score: 0.88265103;
Key: 12,3,223,16.82 | Score: 0.93732476;
Key: 16,3,190,21.99 | Score: 0.9288114;
Key: 12,3,416,10.2 | Score: 0.9166414;
Key: 7,3,32,18.77 | Score: 0.94813615;
Key: 21,3,93,28.23 | Score: 0.9226199;
Key: 15,3,1,19.99 | Score: 0.86433935;
Key: 9,3,120,26.5 | Score: 0.9432084;
Key: 14,3,420,16.29 | Score: 0.89163786;
Key: 18,3,119,8.89 | Score: 0.9166622;
Key: 14,3,43,8.0 | Score: 0.9292831;
Key: 2,3,433,28.57 | Score: 0.9533375;
Key: 19,3,104,19.27 | Score: 0.9206485;
Key: 2,3,237,18.42 | Score: 0.9557018;
Key: 13,3,378,6.72 | Score: 0.9069368;
0,0.92132574,0.95626265,7,3,139,29.77
Key: 7,3,139,29.77 | Score: 0.95626265;
Key: 2,3,237,18.42 | Score: 0.9557018;
Key: 2,3,433,28.57 | Score: 0.9533375;
Key: 3,3,316,8.33 | Score: 0.9530721;
Key: 8,3,242,21.45 | Score: 0.9510135;
Key: 7,3,32,18.77 | Score: 0.94813615;
Key: 4,3,77,2.68 | Score: 0.94324803;
Key: 9,3,120,26.5 | Score: 0.9432084;
Key: 12,3,223,16.82 | Score: 0.93732476;
Key: 13,3,154,29.22 | Score: 0.93448377;
Key: 15,3,192,15.53 | Score: 0.9305355;
Key: 14,3,43,8.0 | Score: 0.9292831;
Key: 16,3,190,21.99 | Score: 0.9288114;
Key: 15,3,186,18.77 | Score: 0.9306982;
Key: 13,3,223,29.22 | Score: 0.9361339;
Key: 14,3,255,18.42 | Score: 0.91299325;
Key: 14,3,511,28.57 | Score: 0.89687735;
Key: 2,3,509,28.57 | Score: 0.9533184;
Key: 15,3,120,18.77 | Score: 0.9235344;
Key: 15,3,446,8.33 | Score: 0.8764339;
Key: 15,3,443,28.57 | Score: 0.88628465;
Key: 7,3,443,29.77 | Score: 0.9506841;
Key: 15,3,251,26.5 | Score: 0.915613;
Key: 7,3,447,8.33 | Score: 0.9515454;
Key: 7,3,111,18.77 | Score: 0.948064;
1,0.933864,0.95626265,7,3,139,29.77
Key: 7,3,139,29.77 | Score: 0.95626265;
Key: 2,3,237,18.42 | Score: 0.9557018;
Key: 2,3,433,28.57 | Score: 0.9533375;
Key: 2,3,509,28.57 | Score: 0.9533184;
Key: 3,3,317,8.33 | Score: 0.95307016;
Key: 7,3,447,8.33 | Score: 0.9515454;
Key: 8,3,242,21.45 | Score: 0.9510135;
Key: 7,3,443,29.77 | Score: 0.9506841;
Key: 7,3,32,18.77 | Score: 0.94813615;
Key: 7,3,111,18.77 | Score: 0.948064;
Key: 4,3,77,2.68 | Score: 0.94324803;
Key: 9,3,120,26.5 | Score: 0.9432084;
Key: 12,3,223,16.82 | Score: 0.93732476;
Key: 15,3,242,21.45 | Score: 0.9120843;
Key: 7,3,433,18.77 | Score: 0.9512109;
Key: 7,3,447,8.33 | Score: 0.9515454;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 7,3,239,18.77 | Score: 0.95326203;
Key: 7,3,445,8.33 | Score: 0.95154935;
Key: 7,3,383,18.77 | Score: 0.95195407;
Key: 2,3,509,18.42 | Score: 0.9556618;
Key: 10,3,499,28.57 | Score: 0.93483514;
Key: 7,3,443,28.57 | Score: 0.9507382;
Key: 7,3,443,29.77 | Score: 0.9506841;
Key: 7,3,316,18.77 | Score: 0.952585;
2,0.9486908,0.95626265,7,3,139,29.77
Key: 7,3,137,29.77 | Score: 0.95607036;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 2,3,237,18.42 | Score: 0.9557018;
Key: 2,3,509,18.42 | Score: 0.9556618;
Key: 2,3,433,28.57 | Score: 0.9533375;
Key: 2,3,509,28.57 | Score: 0.9533184;
Key: 7,3,239,18.77 | Score: 0.95326203;
Key: 3,3,317,8.33 | Score: 0.95307016;
Key: 7,3,316,18.77 | Score: 0.952585;
Key: 7,3,383,18.77 | Score: 0.95195407;
Key: 7,3,445,8.33 | Score: 0.95154935;
Key: 7,3,447,8.33 | Score: 0.9515454;
Key: 7,3,447,8.33 | Score: 0.9515454;
Key: 3,3,509,8.33 | Score: 0.953022;
Key: 7,3,511,29.77 | Score: 0.9495483;
Key: 7,3,239,18.77 | Score: 0.95326203;
Key: 7,3,239,18.77 | Score: 0.95326203;
Key: 7,3,511,8.33 | Score: 0.9510987;
Key: 7,3,511,18.77 | Score: 0.95007706;
Key: 2,3,509,18.42 | Score: 0.9556618;
Key: 7,3,511,28.57 | Score: 0.94961435;
Key: 7,3,383,18.77 | Score: 0.95195407;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,445,8.33 | Score: 0.9530027;
Key: 3,3,509,18.42 | Score: 0.95624334;
3,0.95315343,0.95624334,3,3,509,18.42
Key: 3,3,511,18.42 | Score: 0.9562414;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 7,3,137,29.77 | Score: 0.95607036;
Key: 2,3,239,18.42 | Score: 0.9557018;
Key: 2,3,509,18.42 | Score: 0.9556618;
Key: 2,3,508,18.42 | Score: 0.95565987;
Key: 2,3,433,28.57 | Score: 0.9533375;
Key: 2,3,509,28.57 | Score: 0.9533184;
Key: 7,3,237,18.77 | Score: 0.95330006;
Key: 7,3,239,18.77 | Score: 0.95326203;
Key: 7,3,239,18.77 | Score: 0.95326203;
Key: 3,3,317,8.33 | Score: 0.95307016;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 2,3,509,28.57 | Score: 0.9533184;
Key: 7,3,509,18.42 | Score: 0.9502874;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 7,3,509,18.42 | Score: 0.9502874;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 2,3,509,28.57 | Score: 0.9533184;
Key: 2,3,509,28.57 | Score: 0.9533184;
Key: 3,3,509,18.42 | Score: 0.95624334;
4,0.9546245,0.95624715,3,3,509,28.57
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,511,18.42 | Score: 0.9562414;
Key: 7,3,137,29.77 | Score: 0.95607036;
Key: 2,3,239,18.42 | Score: 0.9557018;
Key: 2,3,509,18.42 | Score: 0.9556618;
Key: 3,3,508,18.42 | Score: 0.95624524;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,511,18.42 | Score: 0.9562414;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
5,0.9561921,0.95624715,3,3,509,28.57
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,509,28.57 | Score: 0.95624715;
Key: 3,3,508,18.42 | Score: 0.95624524;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
Key: 3,3,509,18.42 | Score: 0.95624334;
