2018.02.09.16.38.14
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 19,3,493,21.69 | Score: 0.63301176;
Key: 18,3,107,17.47 | Score: 0.92072254;
Key: 6,3,281,3.84 | Score: 0.95238465;
Key: 4,3,426,16.86 | Score: 0.95622367;
Key: 20,3,497,11.24 | Score: 0.79483336;
Key: 12,3,195,25.54 | Score: 0.9378595;
Key: 4,3,337,15.75 | Score: 0.9560194;
Key: 21,3,469,1.88 | Score: 0.79290175;
Key: 5,3,404,10.53 | Score: 0.9544592;
Key: 8,3,158,15.43 | Score: 0.9478901;
Key: 11,3,421,6.18 | Score: 0.92172796;
Key: 1,3,3,2.01 | Score: 0.94531584;
Key: 15,3,4,9.26 | Score: 0.9483009;
Key: 10,3,141,17.29 | Score: 0.9365559;
Key: 11,3,456,20.28 | Score: 0.92935807;
Key: 1,3,220,2.64 | Score: 0.94728535;
Key: 2,3,104,20.99 | Score: 0.9558621;
Key: 20,3,416,29.37 | Score: 0.63839674;
Key: 20,3,35,14.01 | Score: 0.9335157;
Key: 16,3,453,25.48 | Score: 0.8699538;
Key: 1,3,382,25.3 | Score: 0.94844764;
Key: 5,3,356,1.43 | Score: 0.952925;
Key: 9,3,42,16.89 | Score: 0.939909;
Key: 3,3,121,5.39 | Score: 0.9506579;
Key: 9,3,276,28.93 | Score: 0.9477255;
Key: 16,3,24,8.3 | Score: 0.9374326;
Key: 2,3,127,9.44 | Score: 0.9517384;
Key: 16,3,287,19.87 | Score: 0.8853391;
Key: 7,3,129,4.8 | Score: 0.94292015;
Key: 12,3,187,26.78 | Score: 0.93740267;
Key: 3,3,432,3.17 | Score: 0.952681;
Key: 8,3,500,26.44 | Score: 0.94581056;
Key: 19,3,213,26.35 | Score: 0.924887;
Key: 19,3,268,11.69 | Score: 0.8020396;
Key: 18,3,496,5.85 | Score: 0.83568126;
Key: 4,3,192,11.04 | Score: 0.95475096;
Key: 4,3,8,22.62 | Score: 0.95313627;
Key: 17,3,84,17.6 | Score: 0.9240292;
Key: 20,3,1,26.42 | Score: 0.8385992;
Key: 14,3,341,7.0 | Score: 0.8905445;
Key: 17,3,365,8.02 | Score: 0.83752686;
Key: 3,3,394,3.83 | Score: 0.95224553;
Key: 6,3,238,19.83 | Score: 0.95558804;
Key: 7,3,97,3.25 | Score: 0.93389416;
Key: 16,3,296,23.67 | Score: 0.876992;
Key: 5,3,365,11.52 | Score: 0.954689;
Key: 12,3,365,27.49 | Score: 0.92679673;
Key: 16,3,288,27.85 | Score: 0.88449067;
Key: 11,3,55,20.77 | Score: 0.9356313;
Key: 15,3,320,17.03 | Score: 0.88288164;
0,0.9085993,0.95622367,4,3,426,16.86
Key: 4,3,426,16.86 | Score: 0.95622367;
Key: 4,3,337,15.75 | Score: 0.9560194;
Key: 2,3,104,20.99 | Score: 0.9558621;
Key: 6,3,238,19.83 | Score: 0.95558804;
Key: 4,3,192,11.04 | Score: 0.95475096;
Key: 5,3,365,11.52 | Score: 0.954689;
Key: 5,3,404,10.53 | Score: 0.9544592;
Key: 4,3,8,22.62 | Score: 0.95313627;
Key: 5,3,356,1.43 | Score: 0.952925;
Key: 3,3,432,3.17 | Score: 0.952681;
Key: 6,3,281,3.84 | Score: 0.95238465;
Key: 3,3,394,3.83 | Score: 0.95224553;
Key: 2,3,127,9.44 | Score: 0.9517384;
Key: 3,3,121,5.39 | Score: 0.9506579;
Key: 1,3,382,25.3 | Score: 0.94844764;
Key: 15,3,4,9.26 | Score: 0.9483009;
Key: 8,3,158,15.43 | Score: 0.9478901;
Key: 9,3,276,28.93 | Score: 0.9477255;
Key: 1,3,220,2.64 | Score: 0.94728535;
Key: 8,3,500,26.44 | Score: 0.94581056;
Key: 1,3,3,2.01 | Score: 0.94531584;
Key: 7,3,129,4.8 | Score: 0.94292015;
Key: 9,3,42,16.89 | Score: 0.939909;
Key: 12,3,195,25.54 | Score: 0.9378595;
Key: 16,3,24,8.3 | Score: 0.9374326;
Key: 4,3,324,6.89 | Score: 0.9538464;
Key: 3,3,293,17.85 | Score: 0.9565439;
Key: 3,3,266,12.5 | Score: 0.9555325;
Key: 4,3,170,11.43 | Score: 0.9545155;
Key: 3,3,327,12.26 | Score: 0.9554842;
Key: 7,3,315,18.29 | Score: 0.95261306;
Key: 4,3,320,14.25 | Score: 0.9557159;
Key: 3,3,187,5.33 | Score: 0.9518679;
Key: 6,3,156,9.88 | Score: 0.9514563;
Key: 4,3,317,9.79 | Score: 0.95451754;
Key: 6,3,213,14.14 | Score: 0.954156;
Key: 6,3,170,10.25 | Score: 0.9525493;
Key: 6,3,284,12.15 | Score: 0.9542869;
Key: 4,3,257,5.86 | Score: 0.9537452;
Key: 6,3,214,16.77 | Score: 0.95497113;
Key: 4,3,302,14.7 | Score: 0.95592016;
Key: 4,3,279,11.12 | Score: 0.95486575;
Key: 5,3,322,14.99 | Score: 0.9553962;
Key: 6,3,300,19.23 | Score: 0.95491767;
Key: 5,3,431,14.39 | Score: 0.9547755;
Key: 3,3,399,11.68 | Score: 0.9548774;
Key: 4,3,264,11.03 | Score: 0.9547257;
Key: 4,3,209,18.18 | Score: 0.9572819;
Key: 8,3,102,16.8 | Score: 0.9401505;
Key: 5,3,319,13.76 | Score: 0.9551821;
1,0.9518431,0.9572819,4,3,209,18.18
Key: 4,3,209,18.18 | Score: 0.9572819;
Key: 3,3,293,17.85 | Score: 0.9565439;
Key: 4,3,426,16.86 | Score: 0.95622367;
Key: 4,3,337,15.75 | Score: 0.9560194;
Key: 4,3,302,14.7 | Score: 0.95592016;
Key: 2,3,104,20.99 | Score: 0.9558621;
Key: 4,3,320,14.25 | Score: 0.9557159;
Key: 6,3,238,19.83 | Score: 0.95558804;
Key: 3,3,266,12.5 | Score: 0.9555325;
Key: 3,3,327,12.26 | Score: 0.9554842;
Key: 5,3,322,14.99 | Score: 0.9553962;
Key: 5,3,319,13.76 | Score: 0.9551821;
Key: 6,3,214,16.77 | Score: 0.95497113;
Key: 6,3,300,19.23 | Score: 0.95491767;
Key: 3,3,399,11.68 | Score: 0.9548774;
Key: 4,3,279,11.12 | Score: 0.95486575;
Key: 5,3,431,14.39 | Score: 0.9547755;
Key: 4,3,192,11.04 | Score: 0.95475096;
Key: 4,3,264,11.03 | Score: 0.9547257;
Key: 5,3,365,11.52 | Score: 0.954689;
Key: 4,3,317,9.79 | Score: 0.95451754;
Key: 4,3,170,11.43 | Score: 0.9545155;
Key: 5,3,404,10.53 | Score: 0.9544592;
Key: 6,3,284,12.15 | Score: 0.9542869;
Key: 6,3,213,14.14 | Score: 0.954156;
Key: 4,3,253,12.8 | Score: 0.95543575;
Key: 4,3,263,14.45 | Score: 0.9559571;
Key: 4,3,317,14.84 | Score: 0.95589286;
Key: 4,3,271,12.26 | Score: 0.95536566;
Key: 3,3,220,14.57 | Score: 0.95577717;
Key: 4,3,307,16.9 | Score: 0.9565932;
Key: 5,3,301,16.32 | Score: 0.955842;
Key: 4,3,313,12.0 | Score: 0.95498824;
Key: 4,3,282,15.2 | Score: 0.95613414;
Key: 3,3,262,15.03 | Score: 0.9558831;
Key: 4,3,391,14.63 | Score: 0.95561856;
Key: 4,3,281,15.51 | Score: 0.95617104;
Key: 4,3,272,15.11 | Score: 0.9561011;
Key: 5,3,336,14.01 | Score: 0.9551978;
Key: 4,3,337,13.45 | Score: 0.95525867;
Key: 5,3,293,16.61 | Score: 0.9558185;
Key: 4,3,314,15.88 | Score: 0.95614576;
Key: 4,3,274,13.76 | Score: 0.95544547;
Key: 4,3,243,16.82 | Score: 0.956815;
Key: 4,3,287,14.48 | Score: 0.9558987;
Key: 3,3,282,16.04 | Score: 0.9561393;
Key: 3,3,276,15.23 | Score: 0.956045;
Key: 3,3,243,13.71 | Score: 0.9557347;
Key: 5,3,252,14.79 | Score: 0.9556103;
Key: 4,3,273,15.09 | Score: 0.9560835;
2,0.9555441,0.9572819,4,3,209,18.18
Key: 4,3,209,18.18 | Score: 0.9572819;
Key: 4,3,243,16.82 | Score: 0.956815;
Key: 4,3,307,16.9 | Score: 0.9565932;
Key: 3,3,293,17.85 | Score: 0.9565439;
Key: 4,3,426,16.86 | Score: 0.95622367;
Key: 4,3,281,15.51 | Score: 0.95617104;
Key: 4,3,314,15.88 | Score: 0.95614576;
Key: 3,3,282,16.04 | Score: 0.9561393;
Key: 4,3,282,15.2 | Score: 0.95613414;
Key: 4,3,272,15.11 | Score: 0.9561011;
Key: 4,3,273,15.09 | Score: 0.9560835;
Key: 3,3,276,15.23 | Score: 0.956045;
Key: 4,3,337,15.75 | Score: 0.9560194;
Key: 4,3,263,14.45 | Score: 0.9559571;
Key: 4,3,302,14.7 | Score: 0.95592016;
Key: 4,3,287,14.48 | Score: 0.9558987;
Key: 4,3,317,14.84 | Score: 0.95589286;
Key: 3,3,262,15.03 | Score: 0.9558831;
Key: 2,3,104,20.99 | Score: 0.9558621;
Key: 5,3,301,16.32 | Score: 0.955842;
Key: 5,3,293,16.61 | Score: 0.9558185;
Key: 3,3,220,14.57 | Score: 0.95577717;
Key: 3,3,243,13.71 | Score: 0.9557347;
Key: 4,3,320,14.25 | Score: 0.9557159;
Key: 4,3,391,14.63 | Score: 0.95561856;
Key: 4,3,293,17.43 | Score: 0.9567955;
Key: 4,3,284,16.18 | Score: 0.95638704;
Key: 4,3,303,15.31 | Score: 0.9559162;
Key: 3,3,266,16.99 | Score: 0.95642835;
Key: 4,3,326,15.86 | Score: 0.95607185;
Key: 4,3,312,15.44 | Score: 0.95601743;
Key: 4,3,284,15.14 | Score: 0.9560912;
Key: 4,3,328,16.02 | Score: 0.9562683;
Key: 4,3,282,16.57 | Score: 0.9564843;
Key: 4,3,332,15.96 | Score: 0.9561691;
Key: 4,3,304,16.84 | Score: 0.9565504;
Key: 3,3,282,15.67 | Score: 0.95609885;
Key: 4,3,244,16.57 | Score: 0.956603;
Key: 4,3,301,15.42 | Score: 0.95600575;
Key: 3,3,236,16.49 | Score: 0.95631856;
