2018.02.07.19.57.27
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 15,3,496,25.35 | Score: 0.88073105;
Key: 17,3,375,5.59 | Score: 0.84442306;
Key: 18,3,430,20.03 | Score: 0.83753467;
Key: 13,3,257,1.66 | Score: 0.90579695;
Key: 18,3,64,11.86 | Score: 0.9244762;
Key: 12,3,117,20.46 | Score: 0.9311061;
Key: 11,3,236,9.08 | Score: 0.9353395;
Key: 21,3,435,20.25 | Score: 0.5894783;
Key: 14,3,417,7.24 | Score: 0.88716316;
Key: 7,3,183,13.19 | Score: 0.9515815;
Key: 8,3,347,11.44 | Score: 0.9493041;
Key: 13,3,213,12.49 | Score: 0.93331844;
Key: 3,3,491,18.93 | Score: 0.95635897;
Key: 20,3,171,16.75 | Score: 0.919327;
Key: 6,3,41,17.79 | Score: 0.94811994;
Key: 14,3,216,5.5 | Score: 0.9217558;
Key: 1,3,403,8.61 | Score: 0.94899577;
Key: 17,3,93,17.21 | Score: 0.92277974;
Key: 9,3,248,16.1 | Score: 0.94740677;
Key: 18,3,252,7.26 | Score: 0.8670338;
Key: 8,3,468,25.16 | Score: 0.94661766;
Key: 14,3,43,22.22 | Score: 0.9364517;
Key: 9,3,320,13.03 | Score: 0.94528204;
Key: 18,3,487,28.21 | Score: 0.6770033;
Key: 8,3,364,1.4 | Score: 0.9420945;
0,0.89797914,0.95635897,3,3,491,18.93
Key: 3,3,491,18.93 | Score: 0.95635897;
Key: 7,3,183,13.19 | Score: 0.9515815;
Key: 8,3,345,11.44 | Score: 0.9493365;
Key: 1,3,403,8.61 | Score: 0.94899577;
Key: 6,3,41,17.79 | Score: 0.94811994;
Key: 9,3,248,16.1 | Score: 0.94740677;
Key: 8,3,468,25.16 | Score: 0.94661766;
Key: 9,3,320,13.03 | Score: 0.94528204;
Key: 8,3,364,1.4 | Score: 0.9420945;
Key: 14,3,43,22.22 | Score: 0.9364517;
Key: 11,3,236,9.08 | Score: 0.9353395;
Key: 13,3,213,12.49 | Score: 0.93331844;
Key: 12,3,117,20.46 | Score: 0.9311061;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 8,3,416,13.31 | Score: 0.94854957;
Key: 7,3,180,15.41 | Score: 0.9519861;
Key: 8,3,269,20.56 | Score: 0.95088;
Key: 7,3,265,12.32 | Score: 0.95240873;
Key: 9,3,358,20.63 | Score: 0.94547623;
Key: 8,3,269,20.56 | Score: 0.95088;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 7,3,112,15.49 | Score: 0.9453418;
Key: 7,3,252,21.47 | Score: 0.9537247;
Key: 8,3,269,20.56 | Score: 0.95088;
Key: 8,3,215,14.64 | Score: 0.9502832;
1,0.9473929,0.95635897,3,3,491,18.93
Key: 3,3,491,18.93 | Score: 0.95635897;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 7,3,252,21.47 | Score: 0.9537247;
Key: 7,3,265,12.32 | Score: 0.95240873;
Key: 7,3,180,15.41 | Score: 0.9519861;
Key: 7,3,183,13.19 | Score: 0.9515815;
Key: 8,3,269,20.56 | Score: 0.95088;
Key: 8,3,269,20.56 | Score: 0.95088;
Key: 8,3,269,20.56 | Score: 0.95088;
Key: 8,3,214,14.64 | Score: 0.9503095;
Key: 8,3,345,11.44 | Score: 0.9493365;
Key: 1,3,403,8.61 | Score: 0.94899577;
Key: 5,3,350,14.6 | Score: 0.9551683;
Key: 7,3,218,18.44 | Score: 0.95336217;
Key: 6,3,352,18.71 | Score: 0.9541996;
Key: 5,3,336,17.17 | Score: 0.95572823;
Key: 7,3,216,18.44 | Score: 0.95320195;
Key: 8,3,269,20.56 | Score: 0.95088;
Key: 6,3,352,18.71 | Score: 0.9541996;
Key: 5,3,378,15.63 | Score: 0.95521545;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 5,3,380,19.74 | Score: 0.95581263;
Key: 7,3,181,14.3 | Score: 0.9517798;
Key: 5,3,350,14.6 | Score: 0.9551683;
2,0.9532267,0.95635897,3,3,491,18.93
Key: 3,3,491,18.93 | Score: 0.95635897;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 5,3,380,19.74 | Score: 0.95581263;
Key: 5,3,336,17.17 | Score: 0.95572823;
Key: 5,3,379,15.63 | Score: 0.9552076;
Key: 5,3,350,14.6 | Score: 0.9551683;
Key: 5,3,350,14.6 | Score: 0.9551683;
Key: 6,3,352,18.71 | Score: 0.9541996;
Key: 6,3,352,18.71 | Score: 0.9541996;
Key: 7,3,252,21.47 | Score: 0.9537247;
Key: 7,3,218,18.44 | Score: 0.95336217;
Key: 3,3,463,17.9 | Score: 0.9562376;
Key: 5,3,357,16.4 | Score: 0.9555219;
Key: 5,3,365,17.17 | Score: 0.95560837;
Key: 5,3,392,17.79 | Score: 0.955575;
Key: 5,3,365,15.12 | Score: 0.9551546;
Key: 5,3,394,17.79 | Score: 0.95537263;
Key: 5,3,365,17.17 | Score: 0.95560837;
Key: 5,3,366,19.23 | Score: 0.95588136;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 5,3,394,17.79 | Score: 0.95537263;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 5,3,365,17.17 | Score: 0.95560837;
3,0.95544344,0.95641035,4,3,408,18.3
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 3,3,491,18.93 | Score: 0.95635897;
Key: 3,3,461,17.9 | Score: 0.9562376;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 5,3,366,19.23 | Score: 0.95588136;
Key: 5,3,380,19.74 | Score: 0.95581263;
Key: 5,3,336,17.17 | Score: 0.95572823;
Key: 5,3,365,17.17 | Score: 0.95560837;
Key: 5,3,365,17.17 | Score: 0.95560837;
Key: 5,3,365,17.17 | Score: 0.95560837;
Key: 3,3,477,18.42 | Score: 0.9562761;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 3,3,449,17.39 | Score: 0.9562106;
Key: 4,3,435,16.87 | Score: 0.9562022;
Key: 4,3,422,18.82 | Score: 0.9562275;
Key: 3,3,449,17.39 | Score: 0.9562106;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,433,16.87 | Score: 0.956208;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,401,18.05 | Score: 0.95639473;
4,0.95615226,0.95641035,4,3,408,18.3
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,401,18.05 | Score: 0.95639473;
Key: 3,3,491,18.93 | Score: 0.95635897;
Key: 3,3,477,18.42 | Score: 0.9562761;
Key: 3,3,461,17.9 | Score: 0.9562376;
Key: 4,3,422,18.82 | Score: 0.9562275;
Key: 3,3,449,17.39 | Score: 0.9562106;
Key: 3,3,449,17.39 | Score: 0.9562106;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,439,18.23 | Score: 0.95625085;
Key: 4,3,409,18.3 | Score: 0.9564045;
Key: 3,3,476,18.42 | Score: 0.9562781;
Key: 3,3,469,18.16 | Score: 0.9563224;
Key: 4,3,442,18.36 | Score: 0.95628;
Key: 4,3,397,17.66 | Score: 0.95638305;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,431,17.72 | Score: 0.9563344;
Key: 4,3,446,18.49 | Score: 0.9563189;
5,0.9563466,0.95647454,4,3,393,17.53
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,409,18.3 | Score: 0.9564045;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,384,17.02 | Score: 0.9564123;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,401,18.05 | Score: 0.95639473;
Key: 4,3,397,17.66 | Score: 0.95638305;
Key: 4,3,388,17.28 | Score: 0.9564181;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,397,17.66 | Score: 0.95638305;
Key: 4,3,398,17.66 | Score: 0.95637727;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,398,17.66 | Score: 0.95637727;
Key: 4,3,397,17.66 | Score: 0.95638305;
Key: 4,3,398,17.66 | Score: 0.95637727;
Key: 4,3,409,18.3 | Score: 0.9564045;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,397,17.66 | Score: 0.95638305;
6,0.9564059,0.95647454,4,3,393,17.53
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,388,17.28 | Score: 0.9564181;
Key: 4,3,384,17.02 | Score: 0.9564123;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,409,18.3 | Score: 0.9564045;
Key: 4,3,409,18.3 | Score: 0.9564045;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,386,17.02 | Score: 0.95640063;
Key: 4,3,397,17.66 | Score: 0.95638305;
Key: 4,3,397,17.66 | Score: 0.95638305;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,390,17.28 | Score: 0.9564181;
Key: 4,3,389,17.28 | Score: 0.9564181;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,397,17.66 | Score: 0.95638305;
Key: 4,3,387,17.15 | Score: 0.95631886;
Key: 4,3,401,17.91 | Score: 0.95645696;
7,0.95641863,0.95647454,4,3,393,17.53
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,388,17.28 | Score: 0.9564181;
Key: 4,3,390,17.28 | Score: 0.9564181;
Key: 4,3,389,17.28 | Score: 0.9564181;
Key: 4,3,384,17.02 | Score: 0.9564123;
Key: 4,3,408,18.3 | Score: 0.95641035;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,394,17.54 | Score: 0.9563189;
Key: 4,3,400,17.85 | Score: 0.95645314;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,391,17.41 | Score: 0.9564337;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,392,17.41 | Score: 0.9564259;
Key: 4,3,395,17.66 | Score: 0.95639473;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,399,17.72 | Score: 0.9564337;
Key: 4,3,395,17.66 | Score: 0.95639473;
8,0.95643544,0.95647454,4,3,393,17.53
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,400,17.85 | Score: 0.95645314;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,401,17.88 | Score: 0.95646286;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,400,17.85 | Score: 0.95645314;
Key: 4,3,400,17.85 | Score: 0.95645314;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,401,17.88 | Score: 0.95646286;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,398,17.79 | Score: 0.9564512;
Key: 4,3,400,17.85 | Score: 0.95645314;
9,0.9564575,0.95647454,4,3,393,17.53
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,401,17.88 | Score: 0.95646286;
Key: 4,3,401,17.88 | Score: 0.95646286;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,401,17.91 | Score: 0.95645696;
Key: 4,3,400,17.85 | Score: 0.95645314;
Key: 4,3,397,17.7 | Score: 0.9564336;
Key: 4,3,401,17.9 | Score: 0.95646095;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,401,17.9 | Score: 0.95646095;
Key: 4,3,397,17.72 | Score: 0.9564435;
Key: 4,3,397,17.7 | Score: 0.9564336;
Key: 4,3,397,17.71 | Score: 0.9564435;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,397,17.7 | Score: 0.9564336;
Key: 4,3,397,17.7 | Score: 0.9564336;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,396,17.7 | Score: 0.9564395;
10,0.9564585,0.95647454,4,3,393,17.53
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,401,17.88 | Score: 0.95646286;
Key: 4,3,401,17.88 | Score: 0.95646286;
Key: 4,3,401,17.9 | Score: 0.95646095;
Key: 4,3,400,17.9 | Score: 0.95646477;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,392,17.53 | Score: 0.9564803;
Key: 4,3,395,17.53 | Score: 0.9564726;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
11,0.9564727,0.9564803,4,3,392,17.53
Key: 4,3,392,17.53 | Score: 0.9564803;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
Key: 4,3,393,17.53 | Score: 0.95647454;
