2018.03.02.19.33.27
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 21,3,157,26.24 | Score: 0.93877494;
Key: 14,3,391,17.64 | Score: 0.9319923;
Key: 11,3,388,9.57 | Score: 0.9298228;
Key: 3,3,329,18.74 | Score: 0.9310966;
Key: 3,3,352,18.29 | Score: 0.93085074;
Key: 15,3,143,12.76 | Score: 0.931759;
Key: 20,3,389,28.98 | Score: 0.9442356;
Key: 16,3,338,10.56 | Score: 0.9487537;
Key: 6,3,192,22.86 | Score: 0.9270484;
Key: 10,3,438,8.0 | Score: 0.9305469;
Key: 14,3,165,5.16 | Score: 0.94745934;
Key: 18,3,402,25.89 | Score: 0.94338006;
Key: 4,3,208,20.61 | Score: 0.9306513;
Key: 3,3,135,13.93 | Score: 0.9309783;
Key: 3,3,438,27.05 | Score: 0.93562067;
Key: 16,3,122,23.99 | Score: 0.92366594;
Key: 17,3,39,14.08 | Score: 0.9267274;
Key: 5,3,84,28.46 | Score: 0.933429;
Key: 6,3,195,3.68 | Score: 0.94107354;
Key: 2,3,451,6.73 | Score: 0.93428123;
Key: 14,3,210,9.41 | Score: 0.9381374;
Key: 16,3,256,11.53 | Score: 0.94665825;
Key: 10,3,354,7.61 | Score: 0.9321065;
Key: 21,3,179,15.99 | Score: 0.94980156;
Key: 1,3,57,9.38 | Score: 0.92277765;
0,0.9352651,0.94980156,21,3,179,15.99
Key: 21,3,179,15.99 | Score: 0.94980156;
Key: 16,3,338,10.56 | Score: 0.9487537;
Key: 14,3,165,5.16 | Score: 0.94745934;
Key: 16,3,256,11.53 | Score: 0.94665825;
Key: 20,3,389,28.98 | Score: 0.9442356;
Key: 18,3,402,25.89 | Score: 0.94338006;
Key: 6,3,195,3.68 | Score: 0.94107354;
Key: 21,3,157,26.24 | Score: 0.93877494;
Key: 14,3,208,9.41 | Score: 0.9381666;
Key: 3,3,438,27.05 | Score: 0.93562067;
Key: 2,3,451,6.73 | Score: 0.93428123;
Key: 5,3,84,28.46 | Score: 0.933429;
Key: 10,3,354,7.61 | Score: 0.9321065;
Key: 18,3,194,12.72 | Score: 0.94857615;
Key: 19,3,258,13.28 | Score: 0.9531327;
Key: 16,3,283,15.5 | Score: 0.9416077;
Key: 20,3,290,20.92 | Score: 0.9483351;
Key: 9,3,324,18.22 | Score: 0.92046344;
Key: 15,3,274,9.99 | Score: 0.94431317;
Key: 10,3,388,18.75 | Score: 0.91970783;
Key: 10,3,180,4.42 | Score: 0.93849534;
Key: 16,3,297,11.04 | Score: 0.9495226;
Key: 18,3,363,19.75 | Score: 0.9476116;
Key: 17,3,300,19.23 | Score: 0.943249;
Key: 18,3,194,12.72 | Score: 0.94857615;
1,0.9414933,0.9531327,19,3,258,13.28
Key: 19,3,258,13.28 | Score: 0.9531327;
Key: 21,3,179,15.99 | Score: 0.94980156;
Key: 16,3,297,11.04 | Score: 0.9495226;
Key: 16,3,338,10.56 | Score: 0.9487537;
Key: 18,3,194,12.72 | Score: 0.94857615;
Key: 18,3,194,12.72 | Score: 0.94857615;
