2018.03.03.21.10.43
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 9,3,268,28.54 | Score: 0.92024934;
Key: 19,3,86,26.84 | Score: 0.91848224;
Key: 11,3,354,25.49 | Score: 0.91805273;
Key: 8,3,76,24.08 | Score: 0.92586076;
Key: 7,3,141,28.75 | Score: 0.9271347;
Key: 19,3,475,9.93 | Score: 0.95348185;
Key: 7,3,83,20.16 | Score: 0.9264524;
Key: 6,3,243,15.41 | Score: 0.92688346;
Key: 14,3,329,24.16 | Score: 0.92732036;
Key: 11,3,451,20.39 | Score: 0.9199631;
0,0.9263881,0.95348185,19,3,475,9.93
Key: 19,3,475,9.93 | Score: 0.95348185;
Key: 14,3,329,24.16 | Score: 0.92732036;
Key: 7,3,141,28.75 | Score: 0.9271347;
Key: 6,3,243,15.41 | Score: 0.92688346;
Key: 7,3,83,20.16 | Score: 0.9264524;
Key: 7,3,192,22.08 | Score: 0.924322;
Key: 10,3,286,19.79 | Score: 0.9195127;
Key: 7,3,192,22.08 | Score: 0.924322;
Key: 11,3,235,26.45 | Score: 0.9179365;
Key: 13,3,361,12.63 | Score: 0.9329206;
1,0.9280287,0.95348185,19,3,475,9.93
Key: 19,3,475,9.93 | Score: 0.95348185;
Key: 13,3,361,12.63 | Score: 0.9329206;
Key: 14,3,329,24.16 | Score: 0.92732036;
Key: 7,3,141,28.75 | Score: 0.9271347;
Key: 6,3,243,15.41 | Score: 0.92688346;
Key: 10,3,251,20.66 | Score: 0.91945374;
Key: 10,3,251,20.66 | Score: 0.91945374;
Key: 11,3,235,26.45 | Score: 0.9179365;
Key: 13,3,345,18.38 | Score: 0.92567;
Key: 13,3,345,18.38 | Score: 0.92567;
2,0.92759246,0.95348185,19,3,475,9.93
Key: 19,3,475,9.93 | Score: 0.95348185;
Key: 13,3,361,12.63 | Score: 0.9329206;
Key: 14,3,329,24.16 | Score: 0.92732036;
Key: 7,3,141,28.75 | Score: 0.9271347;
Key: 6,3,243,15.41 | Score: 0.92688346;
Key: 13,3,345,18.38 | Score: 0.92567;
Key: 13,3,345,18.38 | Score: 0.92567;
Key: 13,3,310,19.21 | Score: 0.924601;
Key: 13,3,345,18.38 | Score: 0.92567;
Key: 16,3,419,11.27 | Score: 0.9501636;
3,0.9319515,0.95348185,19,3,475,9.93
Key: 19,3,475,9.93 | Score: 0.95348185;
Key: 16,3,419,11.27 | Score: 0.9501636;
Key: 13,3,361,12.63 | Score: 0.9329206;
Key: 14,3,329,24.16 | Score: 0.92732036;
Key: 7,3,141,28.75 | Score: 0.9271347;
Key: 15,3,390,11.94 | Score: 0.94376385;
Key: 15,3,375,17.64 | Score: 0.93624663;
Key: 16,3,419,11.27 | Score: 0.9501636;
Key: 17,3,403,16.95 | Score: 0.9472844;
Key: 18,3,447,10.6 | Score: 0.9554618;
4,0.9423941,0.9554618,18,3,447,10.6
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 19,3,475,9.93 | Score: 0.95348185;
Key: 16,3,419,11.27 | Score: 0.9501636;
Key: 16,3,419,11.27 | Score: 0.9501636;
Key: 17,3,403,16.95 | Score: 0.9472844;
Key: 17,3,433,10.93 | Score: 0.9528907;
Key: 17,3,433,10.93 | Score: 0.9528907;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
5,0.9528723,0.9554618,18,3,447,10.6
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 19,3,475,9.93 | Score: 0.95348185;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
6,0.9552638,0.9554618,18,3,447,10.6
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
Key: 18,3,447,10.6 | Score: 0.9554618;
