2018.03.11.02.22.12
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 11,3,207,26.82 | Score: 0.9182158;
Key: 13,3,398,10.2 | Score: 0.9373134;
Key: 10,3,92,24.48 | Score: 0.92180276;
Key: 18,3,208,11.81 | Score: 0.9505843;
Key: 21,3,500,11.09 | Score: 0.9450123;
Key: 1,3,312,24.24 | Score: 0.9237722;
Key: 1,3,365,3.7 | Score: 0.935429;
Key: 4,3,308,22.25 | Score: 0.92897034;
Key: 6,3,408,18.42 | Score: 0.9254484;
Key: 14,3,149,26.08 | Score: 0.9216033;
Key: 15,3,286,16.18 | Score: 0.9375305;
Key: 6,3,62,14.39 | Score: 0.9298823;
Key: 13,3,421,7.47 | Score: 0.9428003;
Key: 15,3,106,22.92 | Score: 0.92250884;
Key: 10,3,61,4.74 | Score: 0.93779266;
Key: 15,3,136,12.22 | Score: 0.9324254;
Key: 12,3,163,6.92 | Score: 0.93730617;
Key: 21,3,106,28.26 | Score: 0.92631024;
Key: 18,3,208,26.69 | Score: 0.9398257;
Key: 16,3,471,15.11 | Score: 0.94435763;
Key: 4,3,326,23.72 | Score: 0.9297892;
Key: 21,3,399,8.54 | Score: 0.9485163;
Key: 7,3,160,7.51 | Score: 0.932468;
Key: 12,3,442,8.25 | Score: 0.9374428;
Key: 7,3,474,14.75 | Score: 0.9252611;
0,0.93329483,0.9505843,18,3,208,11.81
Key: 18,3,208,11.81 | Score: 0.9505843;
Key: 21,3,399,8.54 | Score: 0.9485163;
Key: 21,3,500,11.09 | Score: 0.9450123;
Key: 16,3,471,15.11 | Score: 0.94435763;
Key: 13,3,421,7.47 | Score: 0.9428003;
Key: 18,3,208,26.69 | Score: 0.9398257;
Key: 10,3,63,4.74 | Score: 0.93710077;
Key: 15,3,286,16.18 | Score: 0.9375305;
Key: 12,3,442,8.25 | Score: 0.9374428;
Key: 13,3,398,10.2 | Score: 0.9373134;
Key: 12,3,163,6.92 | Score: 0.93730617;
Key: 1,3,365,3.7 | Score: 0.935429;
Key: 7,3,160,7.51 | Score: 0.932468;
Key: 11,3,229,7.47 | Score: 0.93287075;
Key: 12,3,420,9.22 | Score: 0.93406266;
Key: 11,3,251,6.49 | Score: 0.9355478;
Key: 15,3,325,17.48 | Score: 0.9355865;
Key: 17,3,339,13.45 | Score: 0.95075643;
Key: 17,3,420,8.4 | Score: 0.95629627;
Key: 19,3,354,11.45 | Score: 0.9543295;
Key: 14,3,364,12.22 | Score: 0.9369641;
Key: 17,3,399,9.37 | Score: 0.95503414;
Key: 15,3,325,17.48 | Score: 0.9355865;
Key: 13,3,431,7.86 | Score: 0.94144535;
Key: 14,3,457,11.69 | Score: 0.939268;
1,0.9413375,0.95629627,17,3,420,8.4
Key: 17,3,420,8.4 | Score: 0.95629627;
Key: 17,3,399,9.37 | Score: 0.95503414;
Key: 19,3,354,11.45 | Score: 0.9543295;
Key: 17,3,339,13.45 | Score: 0.95075643;
Key: 18,3,208,11.81 | Score: 0.9505843;
Key: 21,3,399,8.54 | Score: 0.9485163;
Key: 21,3,500,11.09 | Score: 0.9450123;
Key: 16,3,471,15.11 | Score: 0.94435763;
Key: 13,3,421,7.47 | Score: 0.9428003;
Key: 13,3,431,7.86 | Score: 0.94144535;
Key: 18,3,208,26.69 | Score: 0.9398257;
Key: 14,3,457,11.69 | Score: 0.939268;
Key: 15,3,286,16.18 | Score: 0.9375305;
Key: 15,3,410,8.43 | Score: 0.95143425;
Key: 13,3,426,7.66 | Score: 0.94119525;
Key: 16,3,319,9.84 | Score: 0.95169175;
Key: 17,3,415,8.2 | Score: 0.9576734;
Key: 15,3,446,11.29 | Score: 0.94513106;
Key: 15,3,420,7.94 | Score: 0.9500168;
Key: 17,3,274,12.63 | Score: 0.9492311;
Key: 20,3,376,10.0 | Score: 0.9528466;
Key: 16,3,314,9.65 | Score: 0.95180553;
Key: 17,3,369,11.41 | Score: 0.95283973;
Key: 16,3,392,9.67 | Score: 0.95229363;
Key: 17,3,314,10.1 | Score: 0.95332736;
2,0.9486097,0.9576734,17,3,415,8.2
Key: 17,3,415,8.2 | Score: 0.9576734;
Key: 17,3,420,8.4 | Score: 0.95629627;
Key: 17,3,399,9.37 | Score: 0.95503414;
Key: 19,3,354,11.45 | Score: 0.9543295;
Key: 17,3,314,10.1 | Score: 0.95332736;
Key: 20,3,376,10.0 | Score: 0.9528466;
Key: 17,3,369,11.41 | Score: 0.95283973;
Key: 16,3,392,9.67 | Score: 0.95229363;
Key: 16,3,314,9.65 | Score: 0.95180553;
Key: 16,3,319,9.84 | Score: 0.95169175;
Key: 15,3,410,8.43 | Score: 0.95143425;
Key: 17,3,339,13.45 | Score: 0.95075643;
Key: 18,3,208,11.81 | Score: 0.9505843;
Key: 18,3,388,9.68 | Score: 0.95590246;
Key: 17,3,342,10.53 | Score: 0.9544256;
Key: 18,3,385,9.82 | Score: 0.95622003;
Key: 17,3,344,10.63 | Score: 0.95465577;
Key: 18,3,396,9.1 | Score: 0.9559458;
Key: 17,3,417,8.3 | Score: 0.957096;
Key: 17,3,342,10.53 | Score: 0.9544256;
Key: 17,3,367,9.02 | Score: 0.954962;
Key: 19,3,373,10.7 | Score: 0.95485806;
