2018.03.11.17.58.54
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
2018.03.11.18.11.30
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 20,3,183,23.01 | Score: 0.94535893;
Key: 1,3,202,16.97 | Score: 0.9197962;
Key: 7,3,394,23.36 | Score: 0.92321044;
Key: 17,3,353,18.91 | Score: 0.944651;
Key: 13,3,478,5.27 | Score: 0.95007503;
Key: 16,3,335,5.27 | Score: 0.958887;
Key: 2,3,308,3.4 | Score: 0.9444797;
Key: 11,3,196,6.65 | Score: 0.9349471;
Key: 6,3,140,3.64 | Score: 0.94321156;
Key: 16,3,187,4.81 | Score: 0.9564873;
Key: 10,3,92,5.16 | Score: 0.9355507;
Key: 1,3,332,23.02 | Score: 0.9225838;
Key: 8,3,83,5.74 | Score: 0.9364319;
Key: 4,3,122,21.26 | Score: 0.92945516;
Key: 16,3,283,14.65 | Score: 0.9429649;
0,0.93920594,0.958887,16,3,335,5.27
Key: 16,3,335,5.27 | Score: 0.958887;
Key: 16,3,187,4.81 | Score: 0.9564873;
Key: 13,3,478,5.27 | Score: 0.95007503;
Key: 20,3,183,23.01 | Score: 0.94535893;
Key: 17,3,353,18.91 | Score: 0.944651;
Key: 2,3,308,3.4 | Score: 0.9444797;
Key: 6,3,140,3.64 | Score: 0.94321156;
Key: 16,3,283,14.65 | Score: 0.9429649;
Key: 16,3,261,5.04 | Score: 0.9585937;
Key: 16,3,331,14.12 | Score: 0.9453144;
Key: 8,3,393,4.34 | Score: 0.93797034;
Key: 16,3,269,11.82 | Score: 0.9453877;
Key: 15,3,406,5.27 | Score: 0.9549445;
Key: 16,3,344,12.04 | Score: 0.9476813;
Key: 15,3,332,5.04 | Score: 0.95527834;
1,0.9487524,0.958887,16,3,335,5.27
Key: 16,3,335,5.27 | Score: 0.958887;
Key: 16,3,261,5.04 | Score: 0.9585937;
Key: 16,3,187,4.81 | Score: 0.9564873;
Key: 15,3,332,5.04 | Score: 0.95527834;
Key: 15,3,406,5.27 | Score: 0.9549445;
Key: 13,3,478,5.27 | Score: 0.95007503;
Key: 16,3,344,12.04 | Score: 0.9476813;
Key: 16,3,269,11.82 | Score: 0.9453877;
Key: 15,3,406,5.27 | Score: 0.9549445;
Key: 15,3,369,5.15 | Score: 0.9543321;
Key: 16,3,224,4.93 | Score: 0.9565278;
Key: 16,3,259,4.92 | Score: 0.95951194;
Key: 16,3,296,5.04 | Score: 0.9596817;
Key: 16,3,334,5.16 | Score: 0.9598553;
Key: 16,3,334,5.16 | Score: 0.9598553;
2,0.95546967,0.9598553,16,3,334,5.16
Key: 16,3,334,5.16 | Score: 0.9598553;
Key: 16,3,334,5.16 | Score: 0.9598553;
Key: 16,3,296,5.04 | Score: 0.9596817;
Key: 16,3,259,4.92 | Score: 0.95951194;
Key: 16,3,335,5.27 | Score: 0.958887;
Key: 16,3,261,5.04 | Score: 0.9585937;
Key: 16,3,224,4.93 | Score: 0.9565278;
Key: 16,3,187,4.81 | Score: 0.9564873;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,298,5.1 | Score: 0.95992863;
Key: 16,3,278,4.98 | Score: 0.9595814;
Key: 16,3,334,5.21 | Score: 0.9600849;
3,0.9592025,0.9600849,16,3,334,5.21
Key: 16,3,334,5.21 | Score: 0.9600849;
Key: 16,3,298,5.1 | Score: 0.95992863;
Key: 16,3,334,5.16 | Score: 0.9598553;
Key: 16,3,334,5.16 | Score: 0.9598553;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,315,5.1 | Score: 0.9597608;
Key: 16,3,325,5.13 | Score: 0.9598187;
Key: 16,3,325,5.13 | Score: 0.9598187;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,334,5.19 | Score: 0.96000195;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,325,5.13 | Score: 0.9598187;
Key: 16,3,334,5.19 | Score: 0.96000195;
4,0.95988566,0.9600849,16,3,334,5.21
Key: 16,3,334,5.21 | Score: 0.9600849;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,334,5.19 | Score: 0.96000195;
Key: 16,3,334,5.19 | Score: 0.96000195;
Key: 16,3,298,5.1 | Score: 0.95992863;
Key: 16,3,334,5.16 | Score: 0.9598553;
Key: 16,3,334,5.16 | Score: 0.9598553;
Key: 16,3,316,5.15 | Score: 0.95999426;
Key: 16,3,334,5.19 | Score: 0.96000195;
Key: 16,3,307,5.13 | Score: 0.959973;
Key: 16,3,334,5.2 | Score: 0.96003664;
Key: 16,3,325,5.19 | Score: 0.9600752;
Key: 16,3,307,5.13 | Score: 0.959973;
Key: 16,3,316,5.16 | Score: 0.96002895;
5,0.9599913,0.9600849,16,3,334,5.21
Key: 16,3,334,5.21 | Score: 0.9600849;
Key: 16,3,325,5.19 | Score: 0.9600752;
Key: 16,3,334,5.2 | Score: 0.96003664;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,334,5.19 | Score: 0.96000195;
Key: 16,3,334,5.19 | Score: 0.96000195;
Key: 16,3,325,5.18 | Score: 0.96003854;
Key: 16,3,321,5.18 | Score: 0.960081;
Key: 16,3,330,5.2 | Score: 0.9600791;
Key: 16,3,325,5.18 | Score: 0.96003854;
Key: 16,3,316,5.16 | Score: 0.96002895;
Key: 16,3,329,5.2 | Score: 0.96008873;
Key: 16,3,321,5.18 | Score: 0.960081;
6,0.96004814,0.96008873,16,3,329,5.2
Key: 16,3,329,5.2 | Score: 0.96008873;
Key: 16,3,334,5.21 | Score: 0.9600849;
Key: 16,3,321,5.18 | Score: 0.960081;
Key: 16,3,321,5.18 | Score: 0.960081;
Key: 16,3,330,5.2 | Score: 0.9600791;
Key: 16,3,325,5.19 | Score: 0.9600752;
Key: 16,3,325,5.18 | Score: 0.96003854;
Key: 16,3,325,5.18 | Score: 0.96003854;
Key: 16,3,328,5.2 | Score: 0.9601022;
Key: 16,3,330,5.2 | Score: 0.9600791;
Key: 16,3,326,5.19 | Score: 0.9600733;
Key: 16,3,328,5.2 | Score: 0.9601022;
Key: 16,3,327,5.2 | Score: 0.960108;
Key: 16,3,325,5.19 | Score: 0.9600752;
Key: 16,3,321,5.18 | Score: 0.960081;
7,0.9600792,0.960108,16,3,327,5.2
Key: 16,3,327,5.2 | Score: 0.960108;
Key: 16,3,328,5.2 | Score: 0.9601022;
Key: 16,3,328,5.2 | Score: 0.9601022;
Key: 16,3,329,5.2 | Score: 0.96008873;
Key: 16,3,334,5.21 | Score: 0.9600849;
Key: 16,3,321,5.18 | Score: 0.960081;
Key: 16,3,321,5.18 | Score: 0.960081;
Key: 16,3,321,5.18 | Score: 0.960081;
Key: 16,3,334,5.21 | Score: 0.9600849;
Key: 16,3,324,5.19 | Score: 0.9600868;
Key: 16,3,330,5.21 | Score: 0.9601215;
Key: 16,3,332,5.21 | Score: 0.9600965;
Key: 16,3,328,5.2 | Score: 0.9601022;
Key: 16,3,328,5.2 | Score: 0.9601022;
Key: 16,3,325,5.19 | Score: 0.9600752;
