2018.03.04.21.32.47
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 10,3,280,9.21 | Score: 0.9284425;
Key: 20,3,440,10.89 | Score: 0.95074224;
Key: 14,3,385,24.25 | Score: 0.9271045;
Key: 3,3,137,17.14 | Score: 0.9306613;
Key: 6,3,7,16.13 | Score: 0.9170078;
Key: 21,3,336,29.48 | Score: 0.9435141;
Key: 13,3,165,18.84 | Score: 0.9223488;
Key: 2,3,161,10.46 | Score: 0.93009686;
Key: 21,3,324,26.42 | Score: 0.9448453;
Key: 15,3,260,21.5 | Score: 0.9313599;
Key: 1,3,203,7.79 | Score: 0.92475855;
Key: 3,3,146,12.97 | Score: 0.9313228;
Key: 8,3,141,14.25 | Score: 0.92447484;
Key: 9,3,360,1.93 | Score: 0.9513395;
Key: 12,3,66,26.96 | Score: 0.9229027;
Key: 18,3,45,6.39 | Score: 0.9291887;
Key: 5,3,468,9.13 | Score: 0.9327217;
Key: 18,3,493,6.49 | Score: 0.95831007;
Key: 12,3,369,25.16 | Score: 0.9200668;
Key: 9,3,221,17.94 | Score: 0.9207903;
Key: 2,3,43,6.92 | Score: 0.93413395;
Key: 1,3,256,19.35 | Score: 0.923803;
Key: 6,3,278,2.06 | Score: 0.95005953;
Key: 15,3,237,16.94 | Score: 0.93402565;
Key: 20,3,358,9.35 | Score: 0.95200765;
0,0.93344116,0.95831007,18,3,493,6.49
Key: 18,3,493,6.49 | Score: 0.95831007;
Key: 20,3,358,9.35 | Score: 0.95200765;
Key: 9,3,360,1.93 | Score: 0.9513395;
Key: 20,3,440,10.89 | Score: 0.95074224;
Key: 6,3,278,2.06 | Score: 0.95005953;
Key: 21,3,324,26.42 | Score: 0.9448453;
Key: 21,3,336,29.48 | Score: 0.9435141;
Key: 2,3,43,6.92 | Score: 0.93413395;
Key: 15,3,237,16.94 | Score: 0.93402565;
Key: 5,3,468,9.13 | Score: 0.9327217;
Key: 15,3,260,21.5 | Score: 0.9313599;
Key: 3,3,146,12.97 | Score: 0.9313228;
Key: 3,3,139,17.14 | Score: 0.9306495;
Key: 7,3,413,5.49 | Score: 0.93588006;
Key: 7,3,413,5.49 | Score: 0.93588006;
Key: 10,3,258,9.44 | Score: 0.9279666;
Key: 13,3,359,6.48 | Score: 0.94372195;
Key: 20,3,382,18.63 | Score: 0.9480845;
Key: 12,3,386,4.28 | Score: 0.94920707;
Key: 19,3,467,8.68 | Score: 0.954548;
Key: 4,3,161,4.47 | Score: 0.9413969;
Key: 12,3,386,4.28 | Score: 0.94920707;
Key: 7,3,413,5.49 | Score: 0.93588006;
Key: 13,3,307,15.72 | Score: 0.9279034;
Key: 15,3,348,15.65 | Score: 0.9386444;
1,0.941334,0.95831007,18,3,493,6.49
Key: 18,3,493,6.49 | Score: 0.95831007;
Key: 19,3,467,8.68 | Score: 0.954548;
Key: 20,3,358,9.35 | Score: 0.95200765;
Key: 9,3,360,1.93 | Score: 0.9513395;
Key: 20,3,440,10.89 | Score: 0.95074224;
Key: 6,3,278,2.06 | Score: 0.95005953;
Key: 12,3,386,4.28 | Score: 0.94920707;
Key: 12,3,386,4.28 | Score: 0.94920707;
Key: 20,3,382,18.63 | Score: 0.9480845;
Key: 21,3,324,26.42 | Score: 0.9448453;
Key: 13,3,359,6.48 | Score: 0.94372195;
Key: 21,3,336,29.48 | Score: 0.9435141;
Key: 4,3,161,4.47 | Score: 0.9413969;
Key: 19,3,467,8.68 | Score: 0.954548;
Key: 9,3,332,3.17 | Score: 0.9450163;
Key: 13,3,359,6.48 | Score: 0.94372195;
Key: 14,3,371,10.27 | Score: 0.94101816;
Key: 19,3,425,13.64 | Score: 0.95230246;
Key: 16,3,372,6.82 | Score: 0.95784354;
Key: 16,3,372,6.82 | Score: 0.95784354;
Key: 20,3,399,10.12 | Score: 0.9514013;
Key: 19,3,413,9.01 | Score: 0.95491254;
Key: 20,3,382,18.63 | Score: 0.9480845;
Key: 14,3,414,5.31 | Score: 0.9522757;
Key: 16,3,372,6.82 | Score: 0.95784354;
2,0.9501518,0.95831007,18,3,493,6.49
Key: 18,3,493,6.49 | Score: 0.95831007;
Key: 16,3,374,6.82 | Score: 0.9578272;
Key: 16,3,372,6.82 | Score: 0.95784354;
Key: 16,3,372,6.82 | Score: 0.95784354;
Key: 19,3,413,9.01 | Score: 0.95491254;
Key: 19,3,467,8.68 | Score: 0.954548;
Key: 19,3,467,8.68 | Score: 0.954548;
Key: 19,3,425,13.64 | Score: 0.95230246;
Key: 14,3,414,5.31 | Score: 0.9522757;
Key: 20,3,358,9.35 | Score: 0.95200765;
Key: 20,3,399,10.12 | Score: 0.9514013;
Key: 9,3,360,1.93 | Score: 0.9513395;
Key: 20,3,440,10.89 | Score: 0.95074224;
Key: 16,3,454,5.9 | Score: 0.95850533;
