2018.02.15.02.32.30
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 14,3,421,8.9 | Score: 0.894162;
Key: 3,3,360,9.77 | Score: 0.9537368;
Key: 3,3,61,26.56 | Score: 0.9574919;
Key: 1,3,120,21.07 | Score: 0.95023376;
Key: 3,3,479,21.93 | Score: 0.9564534;
Key: 1,3,101,18.88 | Score: 0.9506402;
Key: 12,3,371,8.35 | Score: 0.91456777;
Key: 12,3,92,3.04 | Score: 0.9214349;
Key: 21,3,268,11.53 | Score: 0.7703174;
Key: 19,3,189,8.62 | Score: 0.91668814;
Key: 4,3,253,8.52 | Score: 0.9540623;
Key: 9,3,384,18.25 | Score: 0.9449184;
Key: 12,3,355,18.07 | Score: 0.9238496;
Key: 10,3,371,9.87 | Score: 0.93572646;
Key: 18,3,156,2.04 | Score: 0.9091951;
Key: 18,3,401,25.29 | Score: 0.83162767;
Key: 7,3,237,5.46 | Score: 0.950656;
Key: 9,3,329,26.88 | Score: 0.94620556;
Key: 17,3,68,24.2 | Score: 0.9279923;
Key: 21,3,280,23.03 | Score: 0.7512391;
Key: 2,3,258,11.45 | Score: 0.95333177;
Key: 13,3,266,22.2 | Score: 0.9248974;
Key: 19,3,386,26.59 | Score: 0.8048148;
Key: 1,3,157,10.3 | Score: 0.9491697;
Key: 21,3,324,11.22 | Score: 0.7770941;
Key: 6,3,251,17.74 | Score: 0.9550803;
Key: 21,3,483,18.59 | Score: 0.5906101;
Key: 12,3,324,29.44 | Score: 0.9304977;
Key: 13,3,227,24.15 | Score: 0.93492395;
Key: 4,3,130,9.66 | Score: 0.9528542;
Key: 18,3,50,27.16 | Score: 0.9331117;
Key: 5,3,199,9.48 | Score: 0.95402116;
Key: 1,3,322,14.85 | Score: 0.950608;
Key: 16,3,249,11.5 | Score: 0.8896212;
Key: 17,3,485,24.35 | Score: 0.85241574;
Key: 14,3,29,2.42 | Score: 0.93165046;
Key: 8,3,111,16.63 | Score: 0.94082004;
Key: 2,3,175,24.68 | Score: 0.9549615;
Key: 21,3,8,7.77 | Score: 0.9471237;
Key: 3,3,275,20.92 | Score: 0.9568792;
Key: 20,3,227,14.15 | Score: 0.82770175;
Key: 15,3,414,4.12 | Score: 0.88940316;
Key: 7,3,255,20.8 | Score: 0.9535405;
Key: 17,3,229,27.32 | Score: 0.9186061;
Key: 21,3,445,27.97 | Score: 0.6047409;
Key: 10,3,357,9.83 | Score: 0.93590593;
Key: 20,3,31,22.46 | Score: 0.939545;
Key: 20,3,316,21.84 | Score: 0.78636307;
Key: 8,3,294,10.07 | Score: 0.94931626;
Key: 19,3,478,17.61 | Score: 0.618887;
0,0.89539385,0.9574919,3,3,61,26.56
Key: 3,3,61,26.56 | Score: 0.9574919;
Key: 3,3,275,20.92 | Score: 0.9568792;
Key: 3,3,479,21.93 | Score: 0.9564534;
Key: 6,3,249,17.74 | Score: 0.9550882;
Key: 2,3,175,24.68 | Score: 0.9549615;
Key: 4,3,253,8.52 | Score: 0.9540623;
Key: 5,3,199,9.48 | Score: 0.95402116;
Key: 3,3,360,9.77 | Score: 0.9537368;
Key: 7,3,255,20.8 | Score: 0.9535405;
Key: 2,3,256,11.45 | Score: 0.9533375;
Key: 4,3,130,9.66 | Score: 0.9528542;
Key: 7,3,237,5.46 | Score: 0.950656;
Key: 1,3,101,18.88 | Score: 0.9506402;
Key: 1,3,322,14.85 | Score: 0.950608;
Key: 1,3,120,21.07 | Score: 0.95023376;
Key: 8,3,294,10.07 | Score: 0.94931626;
Key: 1,3,157,10.3 | Score: 0.9491697;
Key: 21,3,8,7.77 | Score: 0.9471237;
Key: 9,3,329,26.88 | Score: 0.94620556;
Key: 9,3,384,18.25 | Score: 0.9449184;
Key: 8,3,111,16.63 | Score: 0.94082004;
Key: 20,3,31,22.46 | Score: 0.939545;
Key: 10,3,357,9.83 | Score: 0.93590593;
Key: 10,3,371,9.87 | Score: 0.93572646;
Key: 13,3,227,24.15 | Score: 0.93492395;
Key: 13,3,509,8.52 | Score: 0.8955853;
Key: 9,3,331,26.88 | Score: 0.94613;
Key: 23,3,251,7.77 | Score: 0.7599972;
Key: 7,3,511,20.92 | Score: 0.94985884;
Key: 5,3,255,9.48 | Score: 0.9545967;
Key: 21,3,109,7.77 | Score: 0.9150233;
Key: 7,3,255,20.8 | Score: 0.9535405;
Key: 23,3,281,7.77 | Score: 0.74000984;
Key: 9,3,447,10.07 | Score: 0.9420092;
Key: 6,3,255,8.52 | Score: 0.95383066;
Key: 1,3,359,18.88 | Score: 0.95080465;
Key: 7,3,511,8.52 | Score: 0.9512429;
Key: 3,3,415,10.3 | Score: 0.95388126;
Key: 7,3,455,9.48 | Score: 0.95154935;
Key: 13,3,459,26.88 | Score: 0.91141945;
Key: 3,3,479,20.92 | Score: 0.9564765;
Key: 11,3,361,26.88 | Score: 0.93393487;
Key: 5,3,250,21.07 | Score: 0.9570777;
Key: 3,3,447,24.68 | Score: 0.9565305;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,507,20.92 | Score: 0.9498928;
Key: 3,3,191,26.56 | Score: 0.95709115;
Key: 1,3,125,21.07 | Score: 0.9502414;
Key: 7,3,505,17.74 | Score: 0.95024735;
Key: 9,3,367,26.88 | Score: 0.9450696;
1,0.9393692,0.9574919,3,3,61,26.56
Key: 3,3,61,26.56 | Score: 0.9574919;
Key: 3,3,191,26.56 | Score: 0.95709115;
Key: 5,3,250,21.07 | Score: 0.9570777;
Key: 3,3,275,20.92 | Score: 0.9568792;
Key: 3,3,447,24.68 | Score: 0.9565305;
Key: 3,3,479,20.92 | Score: 0.9564765;
Key: 3,3,479,21.93 | Score: 0.9564534;
Key: 6,3,249,17.74 | Score: 0.9550882;
Key: 2,3,175,24.68 | Score: 0.9549615;
Key: 5,3,255,9.48 | Score: 0.9545967;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 4,3,253,8.52 | Score: 0.9540623;
Key: 5,3,199,9.48 | Score: 0.95402116;
Key: 3,3,415,10.3 | Score: 0.95388126;
Key: 6,3,255,8.52 | Score: 0.95383066;
Key: 3,3,360,9.77 | Score: 0.9537368;
Key: 7,3,253,20.8 | Score: 0.9535665;
Key: 7,3,255,20.8 | Score: 0.9535405;
Key: 2,3,256,11.45 | Score: 0.9533375;
Key: 4,3,131,9.66 | Score: 0.95285624;
Key: 7,3,455,9.48 | Score: 0.95154935;
Key: 7,3,511,8.52 | Score: 0.9512429;
Key: 1,3,359,18.88 | Score: 0.95080465;
Key: 7,3,237,5.46 | Score: 0.950656;
Key: 1,3,101,18.88 | Score: 0.9506402;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 5,3,255,21.07 | Score: 0.9570363;
Key: 7,3,511,10.3 | Score: 0.9510846;
Key: 7,3,255,26.56 | Score: 0.9543918;
Key: 3,3,319,20.92 | Score: 0.956779;
Key: 3,3,379,9.77 | Score: 0.95370597;
Key: 6,3,255,24.68 | Score: 0.95624065;
Key: 7,3,511,9.48 | Score: 0.9511067;
Key: 7,3,471,9.48 | Score: 0.9514332;
Key: 7,3,255,20.8 | Score: 0.9535405;
Key: 3,3,447,24.68 | Score: 0.9565305;
Key: 7,3,507,17.74 | Score: 0.95027345;
Key: 7,3,191,26.56 | Score: 0.9550929;
Key: 6,3,511,8.52 | Score: 0.9533427;
Key: 7,3,511,20.8 | Score: 0.9498167;
Key: 7,3,255,20.8 | Score: 0.9535405;
Key: 7,3,255,20.8 | Score: 0.9535405;
Key: 7,3,511,24.68 | Score: 0.94984883;
Key: 7,3,254,9.48 | Score: 0.9522144;
Key: 7,3,511,24.68 | Score: 0.94984883;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,255,9.48 | Score: 0.9522044;
Key: 7,3,191,26.56 | Score: 0.9550929;
Key: 7,3,255,8.52 | Score: 0.95206815;
Key: 7,3,191,9.66 | Score: 0.9510506;
2,0.9536557,0.9574919,3,3,61,26.56
Key: 3,3,61,26.56 | Score: 0.9574919;
Key: 3,3,191,26.56 | Score: 0.95709115;
Key: 5,3,250,21.07 | Score: 0.9570777;
Key: 5,3,253,21.07 | Score: 0.95703644;
Key: 3,3,275,20.92 | Score: 0.9568792;
Key: 3,3,319,20.92 | Score: 0.956779;
Key: 3,3,447,24.68 | Score: 0.9565305;
Key: 3,3,447,24.68 | Score: 0.9565305;
Key: 3,3,479,20.92 | Score: 0.9564765;
Key: 3,3,479,21.93 | Score: 0.9564534;
Key: 6,3,255,24.68 | Score: 0.95624065;
Key: 7,3,191,26.56 | Score: 0.9550929;
Key: 7,3,191,26.56 | Score: 0.9550929;
Key: 6,3,249,17.74 | Score: 0.9550882;
Key: 2,3,175,24.68 | Score: 0.9549615;
Key: 5,3,255,9.48 | Score: 0.9545967;
Key: 7,3,255,26.56 | Score: 0.9543918;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,253,24.68 | Score: 0.95424557;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 4,3,253,8.52 | Score: 0.9540623;
Key: 5,3,199,9.48 | Score: 0.95402116;
Key: 3,3,415,10.3 | Score: 0.95388126;
Key: 6,3,255,8.52 | Score: 0.95383066;
Key: 3,3,360,9.77 | Score: 0.9537368;
Key: 7,3,255,17.74 | Score: 0.9531338;
Key: 7,3,511,20.92 | Score: 0.94985884;
Key: 3,3,447,26.56 | Score: 0.9564707;
Key: 3,3,447,24.68 | Score: 0.9565305;
Key: 7,3,511,24.68 | Score: 0.94984883;
Key: 7,3,191,26.56 | Score: 0.9550929;
Key: 7,3,447,26.56 | Score: 0.950666;
Key: 7,3,511,21.07 | Score: 0.9499209;
Key: 7,3,511,20.92 | Score: 0.94985884;
Key: 7,3,255,26.56 | Score: 0.9543918;
Key: 3,3,511,24.68 | Score: 0.9564591;
Key: 3,3,511,20.92 | Score: 0.9564495;
Key: 5,3,255,21.07 | Score: 0.9570363;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,511,21.93 | Score: 0.9498548;
Key: 7,3,255,26.56 | Score: 0.9543918;
Key: 7,3,255,26.56 | Score: 0.9543918;
Key: 3,3,447,26.56 | Score: 0.9564707;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 3,3,511,26.56 | Score: 0.9563725;
Key: 7,3,255,24.68 | Score: 0.9542075;
Key: 7,3,447,20.92 | Score: 0.95074415;
3,0.95458394,0.9574919,3,3,61,26.56
Key: 3,3,61,26.56 | Score: 0.9574919;
Key: 3,3,191,26.56 | Score: 0.95709115;
Key: 5,3,250,21.07 | Score: 0.9570777;
Key: 5,3,253,21.07 | Score: 0.95703644;
