2018.02.10.03.03.23
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 21,3,201,7.91 | Score: 0.90874547;
Key: 13,3,106,3.89 | Score: 0.9204274;
Key: 12,3,405,27.41 | Score: 0.9248452;
Key: 6,3,45,26.57 | Score: 0.95559406;
Key: 17,3,476,9.82 | Score: 0.861886;
Key: 7,3,385,5.79 | Score: 0.9510606;
Key: 20,3,253,20.48 | Score: 0.81445247;
Key: 15,3,327,22.98 | Score: 0.8935049;
Key: 15,3,156,20.12 | Score: 0.9261799;
Key: 18,3,183,25.78 | Score: 0.9236861;
Key: 7,3,134,22.81 | Score: 0.95254296;
Key: 5,3,463,28.93 | Score: 0.95486385;
Key: 4,3,359,15.1 | Score: 0.9558015;
Key: 7,3,494,22.59 | Score: 0.95013523;
Key: 5,3,464,23.97 | Score: 0.9553177;
Key: 3,3,90,24.22 | Score: 0.9573204;
Key: 14,3,400,24.35 | Score: 0.90134996;
Key: 2,3,455,24.67 | Score: 0.9549138;
Key: 3,3,240,15.44 | Score: 0.95606613;
Key: 16,3,353,11.23 | Score: 0.8724095;
Key: 18,3,276,15.97 | Score: 0.843623;
Key: 10,3,46,1.95 | Score: 0.92724997;
Key: 13,3,305,20.95 | Score: 0.91947055;
Key: 19,3,271,24.4 | Score: 0.83866197;
Key: 14,3,27,23.05 | Score: 0.94591665;
Key: 18,3,394,15.29 | Score: 0.81841487;
Key: 7,3,70,2.92 | Score: 0.9312361;
Key: 21,3,490,24.21 | Score: 0.58845973;
Key: 14,3,483,29.46 | Score: 0.90083224;
Key: 13,3,79,18.66 | Score: 0.92835516;
Key: 20,3,306,7.66 | Score: 0.83040094;
Key: 13,3,145,11.3 | Score: 0.92816377;
Key: 7,3,279,10.28 | Score: 0.952593;
Key: 11,3,398,1.02 | Score: 0.9090085;
Key: 8,3,442,20.31 | Score: 0.9477202;
Key: 18,3,403,7.13 | Score: 0.8368632;
Key: 3,3,324,7.19 | Score: 0.95264053;
Key: 18,3,441,2.12 | Score: 0.8229945;
Key: 18,3,285,22.47 | Score: 0.843661;
Key: 11,3,329,19.35 | Score: 0.9343371;
Key: 20,3,78,10.66 | Score: 0.9207189;
Key: 19,3,334,7.88 | Score: 0.8219182;
Key: 6,3,230,27.96 | Score: 0.95684963;
Key: 6,3,7,29.95 | Score: 0.9205485;
Key: 6,3,67,8.01 | Score: 0.93778366;
Key: 15,3,115,28.14 | Score: 0.92631656;
Key: 15,3,292,24.33 | Score: 0.89855075;
Key: 13,3,306,22.52 | Score: 0.9212291;
Key: 8,3,409,12.3 | Score: 0.9485759;
Key: 6,3,327,28.77 | Score: 0.9554135;
0,0.9059923,0.9573204,3,3,90,24.22
Key: 3,3,90,24.22 | Score: 0.9573204;
Key: 6,3,228,27.96 | Score: 0.95688933;
Key: 3,3,240,15.44 | Score: 0.95606613;
Key: 4,3,359,15.1 | Score: 0.9558015;
Key: 6,3,45,26.57 | Score: 0.95559406;
Key: 6,3,327,28.77 | Score: 0.9554135;
Key: 5,3,464,23.97 | Score: 0.9553177;
Key: 2,3,455,24.67 | Score: 0.9549138;
Key: 5,3,463,28.93 | Score: 0.95486385;
Key: 3,3,324,7.19 | Score: 0.95264053;
Key: 7,3,279,10.28 | Score: 0.952593;
Key: 7,3,134,22.81 | Score: 0.95254296;
Key: 7,3,385,5.79 | Score: 0.9510606;
Key: 7,3,494,22.59 | Score: 0.95013523;
Key: 8,3,409,12.3 | Score: 0.9485759;
Key: 8,3,442,20.31 | Score: 0.9477202;
