2018.02.07.04.09.48
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 12,3,122,28.65 | Score: 0.9340133;
Key: 14,3,190,20.88 | Score: 0.93331313;
Key: 14,3,495,4.13 | Score: 0.885174;
Key: 16,3,31,7.44 | Score: 0.9332557;
Key: 17,3,47,4.24 | Score: 0.92491746;
Key: 16,3,9,19.49 | Score: 0.95989114;
Key: 2,3,413,20.16 | Score: 0.9558163;
Key: 18,3,401,7.36 | Score: 0.8362387;
Key: 20,3,40,19.16 | Score: 0.93343115;
Key: 15,3,368,12.35 | Score: 0.8720588;
Key: 3,3,474,15.81 | Score: 0.9557791;
Key: 12,3,163,13.88 | Score: 0.9341249;
Key: 17,3,154,1.22 | Score: 0.90919346;
Key: 8,3,453,1.64 | Score: 0.94062394;
Key: 13,3,31,16.35 | Score: 0.9399851;
Key: 14,3,379,14.24 | Score: 0.8958699;
Key: 16,3,2,2.69 | Score: 0.94519645;
Key: 9,3,179,7.88 | Score: 0.9457417;
Key: 16,3,460,25.11 | Score: 0.87031335;
Key: 17,3,393,8.67 | Score: 0.83280164;
Key: 1,3,337,6.32 | Score: 0.948425;
Key: 15,3,184,2.22 | Score: 0.9206696;
Key: 14,3,261,10.54 | Score: 0.9074788;
Key: 9,3,442,19.65 | Score: 0.9436415;
Key: 4,3,262,29.82 | Score: 0.9575386;
0,0.9206197,0.95989114,16,3,9,19.49
Key: 16,3,9,19.49 | Score: 0.95989114;
Key: 4,3,260,29.82 | Score: 0.9575484;
Key: 2,3,413,20.16 | Score: 0.9558163;
Key: 3,3,474,15.81 | Score: 0.9557791;
Key: 1,3,337,6.32 | Score: 0.948425;
Key: 9,3,179,7.88 | Score: 0.9457417;
Key: 16,3,2,2.69 | Score: 0.94519645;
Key: 9,3,442,19.65 | Score: 0.9436415;
Key: 8,3,453,1.64 | Score: 0.94062394;
Key: 13,3,31,16.35 | Score: 0.9399851;
Key: 12,3,163,13.88 | Score: 0.9341249;
Key: 12,3,122,28.65 | Score: 0.9340133;
Key: 20,3,40,19.16 | Score: 0.93343115;
Key: 9,3,172,12.94 | Score: 0.94626474;
Key: 13,3,222,11.16 | Score: 0.92740244;
Key: 6,3,357,15.86 | Score: 0.95394176;
Key: 6,3,351,24.77 | Score: 0.9550307;
Key: 6,3,327,11.87 | Score: 0.95417976;
Key: 5,3,389,12.97 | Score: 0.95487565;
Key: 16,3,6,11.15 | Score: 0.95366645;
Key: 9,3,172,12.94 | Score: 0.94626474;
Key: 9,3,310,13.76 | Score: 0.9457765;
Key: 6,3,325,11.87 | Score: 0.95419955;
Key: 6,3,357,15.86 | Score: 0.95394176;
Key: 4,3,395,3.99 | Score: 0.9536791;
1,0.94773763,0.95989114,16,3,9,19.49
Key: 16,3,11,19.49 | Score: 0.9585559;
Key: 4,3,260,29.82 | Score: 0.9575484;
Key: 2,3,413,20.16 | Score: 0.9558163;
Key: 3,3,474,15.81 | Score: 0.9557791;
Key: 6,3,351,24.77 | Score: 0.9550307;
