2018.02.07.18.15.06
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 14,3,152,8.59 | Score: 0.9253003;
Key: 14,3,320,11.31 | Score: 0.8950987;
Key: 11,3,432,27.04 | Score: 0.9312255;
Key: 5,3,261,16.99 | Score: 0.9562114;
Key: 17,3,445,25.31 | Score: 0.85317564;
Key: 20,3,71,7.63 | Score: 0.9206527;
Key: 2,3,237,23.19 | Score: 0.9553793;
Key: 8,3,371,1.95 | Score: 0.9440972;
Key: 10,3,382,20.0 | Score: 0.93925905;
Key: 13,3,329,5.17 | Score: 0.91087294;
Key: 15,3,37,24.82 | Score: 0.93939215;
Key: 20,3,264,20.13 | Score: 0.808718;
Key: 9,3,120,12.32 | Score: 0.9354532;
Key: 10,3,381,23.72 | Score: 0.9395954;
Key: 10,3,460,26.15 | Score: 0.93661994;
Key: 10,3,103,11.31 | Score: 0.9309621;
Key: 12,3,482,5.57 | Score: 0.9091849;
Key: 4,3,441,14.83 | Score: 0.9555524;
Key: 17,3,118,10.2 | Score: 0.91775554;
Key: 12,3,426,24.27 | Score: 0.9228811;
Key: 4,3,59,10.68 | Score: 0.9485452;
Key: 5,3,320,17.73 | Score: 0.9560621;
Key: 1,3,228,14.02 | Score: 0.95032644;
Key: 8,3,261,19.76 | Score: 0.95088196;
Key: 10,3,173,26.82 | Score: 0.94471264;
0,0.92711663,0.9562114,5,3,261,16.99
Key: 5,3,261,16.99 | Score: 0.9562114;
Key: 5,3,320,17.73 | Score: 0.9560621;
Key: 4,3,441,14.83 | Score: 0.9555524;
Key: 2,3,237,23.19 | Score: 0.9553793;
Key: 8,3,261,19.76 | Score: 0.95088196;
Key: 1,3,228,14.02 | Score: 0.95032644;
Key: 4,3,59,10.68 | Score: 0.9485452;
Key: 10,3,173,26.82 | Score: 0.94471264;
Key: 8,3,371,1.95 | Score: 0.9440972;
Key: 10,3,381,23.72 | Score: 0.9395954;
Key: 15,3,37,24.82 | Score: 0.93939215;
Key: 10,3,382,20.0 | Score: 0.93925905;
Key: 10,3,460,26.15 | Score: 0.93661994;
Key: 5,3,380,16.28 | Score: 0.95523316;
Key: 4,3,279,20.46 | Score: 0.9566185;
Key: 8,3,316,10.89 | Score: 0.9492576;
Key: 5,3,380,16.28 | Score: 0.95523316;
Key: 6,3,204,24.99 | Score: 0.95689726;
Key: 6,3,205,24.99 | Score: 0.95688933;
Key: 5,3,351,15.91 | Score: 0.9554178;
Key: 5,3,290,17.36 | Score: 0.95605224;
Key: 6,3,406,8.43 | Score: 0.9537057;
Key: 4,3,299,8.0 | Score: 0.95441824;
Key: 6,3,160,15.23 | Score: 0.95382476;
Key: 5,3,304,12.63 | Score: 0.9548187;
1,0.95100015,0.95689726,6,3,204,24.99
Key: 6,3,204,24.99 | Score: 0.95689726;
Key: 6,3,205,24.99 | Score: 0.95688933;
Key: 4,3,279,20.46 | Score: 0.9566185;
Key: 5,3,261,16.99 | Score: 0.9562114;
Key: 5,3,320,17.73 | Score: 0.9560621;
Key: 5,3,290,17.36 | Score: 0.95605224;
Key: 4,3,441,14.83 | Score: 0.9555524;
Key: 5,3,351,15.91 | Score: 0.9554178;
Key: 2,3,237,23.19 | Score: 0.9553793;
Key: 5,3,380,16.28 | Score: 0.95523316;
Key: 5,3,380,16.28 | Score: 0.95523316;
Key: 5,3,304,12.63 | Score: 0.9548187;
Key: 4,3,299,8.0 | Score: 0.95441824;
Key: 5,3,322,19.91 | Score: 0.9561858;
Key: 4,3,270,18.73 | Score: 0.95693177;
Key: 3,3,339,19.01 | Score: 0.9566075;
Key: 6,3,277,20.45 | Score: 0.95545316;
Key: 5,3,322,19.91 | Score: 0.9561858;
Key: 5,3,275,17.17 | Score: 0.9561682;
Key: 5,3,380,16.28 | Score: 0.95523316;
Key: 4,3,221,24.09 | Score: 0.95774096;
Key: 4,3,299,19.1 | Score: 0.95663214;
Key: 6,3,247,21.18 | Score: 0.9558618;
Key: 6,3,292,20.64 | Score: 0.9552608;
Key: 5,3,242,22.73 | Score: 0.9573664;
2,0.95601636,0.95774096,4,3,221,24.09
Key: 4,3,221,24.09 | Score: 0.95774096;
Key: 5,3,242,22.73 | Score: 0.9573664;
Key: 4,3,268,18.73 | Score: 0.95694727;
Key: 6,3,204,24.99 | Score: 0.95689726;
Key: 6,3,205,24.99 | Score: 0.95688933;
Key: 4,3,299,19.1 | Score: 0.95663214;
Key: 4,3,279,20.46 | Score: 0.9566185;
Key: 3,3,339,19.01 | Score: 0.9566075;
Key: 5,3,261,16.99 | Score: 0.9562114;
Key: 5,3,322,19.91 | Score: 0.9561858;
Key: 5,3,322,19.91 | Score: 0.9561858;
Key: 5,3,274,17.17 | Score: 0.9561682;
Key: 5,3,320,17.73 | Score: 0.9560621;
Key: 6,3,263,22.45 | Score: 0.95596695;
Key: 5,3,271,22.0 | Score: 0.9570325;
Key: 5,3,282,21.32 | Score: 0.9568439;
