2018.02.11.01.48.57
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 16,3,99,9.26 | Score: 0.920006;
Key: 13,3,77,19.27 | Score: 0.9287507;
Key: 21,3,338,11.41 | Score: 0.7726386;
Key: 18,3,55,23.47 | Score: 0.9305041;
Key: 15,3,65,4.23 | Score: 0.9222582;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 19,3,141,8.43 | Score: 0.9141097;
Key: 18,3,25,25.34 | Score: 0.9463157;
Key: 16,3,478,14.49 | Score: 0.8550684;
Key: 21,3,303,7.76 | Score: 0.7788356;
Key: 10,3,104,13.92 | Score: 0.932229;
Key: 16,3,40,1.98 | Score: 0.9258097;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 1,3,396,15.89 | Score: 0.95072526;
Key: 10,3,263,8.98 | Score: 0.93834084;
Key: 21,3,57,28.81 | Score: 0.92954904;
Key: 3,3,38,19.54 | Score: 0.9569408;
Key: 15,3,351,25.12 | Score: 0.88982636;
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 12,3,150,4.55 | Score: 0.92880726;
Key: 15,3,126,18.84 | Score: 0.92353433;
Key: 9,3,235,3.06 | Score: 0.93893653;
Key: 17,3,150,4.12 | Score: 0.91109633;
Key: 19,3,83,17.71 | Score: 0.9227927;
0,0.9176064,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,38,19.54 | Score: 0.9569408;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 1,3,396,15.89 | Score: 0.95072526;
Key: 18,3,25,25.34 | Score: 0.9463157;
Key: 9,3,235,3.06 | Score: 0.93893653;
Key: 10,3,263,8.98 | Score: 0.93834084;
Key: 10,3,104,13.92 | Score: 0.932229;
Key: 18,3,55,23.47 | Score: 0.9305041;
Key: 21,3,57,28.81 | Score: 0.92954904;
Key: 12,3,150,4.55 | Score: 0.92880726;
Key: 10,3,367,8.98 | Score: 0.934179;
Key: 22,3,351,25.34 | Score: 0.5910294;
Key: 27,3,25,27.76 | Score: 0.94450855;
Key: 15,3,511,28.7 | Score: 0.8826712;
Key: 11,3,235,13.92 | Score: 0.9378176;
Key: 11,3,120,13.92 | Score: 0.9312296;
Key: 19,3,413,15.89 | Score: 0.8141988;
Key: 15,3,511,28.7 | Score: 0.8826712;
Key: 15,3,367,13.92 | Score: 0.88112384;
Key: 11,3,120,27.76 | Score: 0.93614197;
Key: 22,3,473,25.34 | Score: 0.5552171;
Key: 10,3,367,8.98 | Score: 0.934179;
1,0.9000162,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,38,19.54 | Score: 0.9569408;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 1,3,397,15.89 | Score: 0.95072526;
Key: 18,3,25,25.34 | Score: 0.9463157;
Key: 27,3,25,27.76 | Score: 0.94450855;
Key: 9,3,235,3.06 | Score: 0.93893653;
Key: 10,3,263,8.98 | Score: 0.93834084;
Key: 11,3,235,13.92 | Score: 0.9378176;
Key: 11,3,120,27.76 | Score: 0.93614197;
Key: 10,3,367,8.98 | Score: 0.934179;
Key: 7,3,382,28.7 | Score: 0.95186585;
Key: 23,3,287,25.34 | Score: 0.6386109;
Key: 15,3,491,20.62 | Score: 0.8768463;
Key: 27,3,25,27.76 | Score: 0.94450855;
Key: 11,3,239,3.06 | Score: 0.9238892;
Key: 23,3,287,25.34 | Score: 0.6386109;
Key: 7,3,478,28.7 | Score: 0.95008713;
Key: 9,3,251,27.76 | Score: 0.94829965;
Key: 15,3,287,27.76 | Score: 0.9017822;
Key: 27,3,413,27.76 | Score: 0.45117617;
Key: 15,3,473,27.76 | Score: 0.8838258;
Key: 22,3,351,25.34 | Score: 0.5910294;
2,0.880301,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,38,19.54 | Score: 0.9569408;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 7,3,382,28.7 | Score: 0.95186585;
Key: 1,3,397,15.89 | Score: 0.95072526;
Key: 7,3,478,28.7 | Score: 0.95008713;
Key: 9,3,250,27.76 | Score: 0.9483344;
Key: 18,3,25,25.34 | Score: 0.9463157;
Key: 27,3,25,27.76 | Score: 0.94450855;
Key: 27,3,25,27.76 | Score: 0.94450855;
Key: 9,3,235,3.06 | Score: 0.93893653;
Key: 9,3,511,27.76 | Score: 0.9407466;
Key: 19,3,413,15.89 | Score: 0.8141988;
Key: 23,3,479,28.7 | Score: 0.5385991;
Key: 7,3,463,20.62 | Score: 0.95064;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 15,3,510,27.76 | Score: 0.8818552;
Key: 22,3,473,20.62 | Score: 0.54271704;
Key: 7,3,461,15.89 | Score: 0.9512229;
Key: 11,3,255,27.76 | Score: 0.9407833;
Key: 19,3,413,25.34 | Score: 0.6394916;
Key: 7,3,399,28.59 | Score: 0.95162153;
Key: 7,3,382,19.54 | Score: 0.951924;
3,0.8964384,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,38,19.54 | Score: 0.9569408;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,382,28.7 | Score: 0.95186585;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,399,28.59 | Score: 0.95162153;
Key: 7,3,461,15.89 | Score: 0.9512229;
Key: 1,3,397,15.89 | Score: 0.95072526;
Key: 7,3,463,20.62 | Score: 0.95064;
Key: 7,3,478,28.7 | Score: 0.95008713;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,511,19.54 | Score: 0.9502113;
Key: 15,3,286,28.59 | Score: 0.9008403;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,511,28.59 | Score: 0.9496224;
Key: 15,3,473,27.76 | Score: 0.8838258;
Key: 11,3,54,19.54 | Score: 0.93532705;
Key: 7,3,399,28.59 | Score: 0.95162153;
Key: 7,3,511,19.54 | Score: 0.9502113;
Key: 7,3,383,28.7 | Score: 0.95185184;
4,0.94684136,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,38,19.54 | Score: 0.9569408;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,382,28.7 | Score: 0.95186585;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 15,3,382,27.76 | Score: 0.8889518;
Key: 7,3,511,20.62 | Score: 0.95001507;
Key: 15,3,382,27.76 | Score: 0.8889518;
Key: 7,3,511,20.62 | Score: 0.95001507;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,382,28.7 | Score: 0.95186585;
Key: 11,3,54,19.54 | Score: 0.93532705;
Key: 15,3,383,28.59 | Score: 0.8897982;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 15,3,382,28.7 | Score: 0.8897397;
Key: 7,3,463,20.62 | Score: 0.95064;
5,0.94189775,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,38,19.54 | Score: 0.9569408;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,382,28.7 | Score: 0.95186585;
Key: 7,3,382,28.7 | Score: 0.95186585;
Key: 7,3,511,28.59 | Score: 0.9496224;
Key: 7,3,511,20.62 | Score: 0.95001507;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 7,3,383,28.7 | Score: 0.95185184;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,382,28.59 | Score: 0.95195603;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,382,19.54 | Score: 0.951924;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,511,19.54 | Score: 0.9502113;
Key: 6,3,479,20.62 | Score: 0.95320386;
6,0.95270157,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,39,19.54 | Score: 0.95692927;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,382,28.59 | Score: 0.95195603;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 7,3,383,28.59 | Score: 0.95192796;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 7,3,382,28.59 | Score: 0.95195603;
Key: 7,3,479,28.59 | Score: 0.9501993;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,380,28.59 | Score: 0.9520001;
Key: 15,3,479,27.76 | Score: 0.8834872;
Key: 7,3,511,28.59 | Score: 0.9496224;
Key: 7,3,479,28.59 | Score: 0.9501993;
Key: 15,3,479,27.76 | Score: 0.8834872;
Key: 11,3,54,27.76 | Score: 0.93914515;
Key: 7,3,495,20.62 | Score: 0.9502273;
Key: 6,3,479,28.7 | Score: 0.9531741;
7,0.9468168,0.9603064,9,3,16,27.76
Key: 9,3,16,27.76 | Score: 0.9603064;
Key: 3,3,39,19.54 | Score: 0.95692927;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,380,28.59 | Score: 0.9520001;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,495,19.54 | Score: 0.9501753;
Key: 7,3,351,28.59 | Score: 0.9525289;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,511,19.54 | Score: 0.9502113;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,20.62 | Score: 0.95320386;
8,0.9534395,0.9603064,9,3,16,27.76
Key: 9,3,17,27.76 | Score: 0.9595607;
Key: 3,3,39,19.54 | Score: 0.95692927;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 15,3,479,27.76 | Score: 0.8834872;
Key: 15,3,479,27.76 | Score: 0.8834872;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,477,20.62 | Score: 0.9532396;
Key: 15,3,287,28.59 | Score: 0.9007036;
Key: 7,3,510,19.54 | Score: 0.9502173;
Key: 15,3,350,27.76 | Score: 0.894232;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 15,3,287,27.76 | Score: 0.9017822;
9,0.94152176,0.9595607,9,3,17,27.76
Key: 9,3,17,27.76 | Score: 0.9595607;
Key: 3,3,37,19.54 | Score: 0.95698327;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,477,20.62 | Score: 0.9532396;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 11,3,55,27.76 | Score: 0.93887216;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 7,3,479,20.62 | Score: 0.9504116;
Key: 6,3,477,20.62 | Score: 0.9532396;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,479,20.62 | Score: 0.9504116;
Key: 7,3,463,28.59 | Score: 0.9504277;
Key: 6,3,479,20.62 | Score: 0.95320386;
10,0.9528288,0.9595607,9,3,17,27.76
Key: 9,3,17,27.76 | Score: 0.9595607;
Key: 3,3,37,19.54 | Score: 0.95698327;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,477,20.62 | Score: 0.9532396;
Key: 6,3,477,20.62 | Score: 0.9532396;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 7,3,479,28.59 | Score: 0.9501993;
Key: 7,3,479,20.62 | Score: 0.9504116;
Key: 6,3,477,20.62 | Score: 0.9532396;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,28.7 | Score: 0.9531741;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 6,3,479,20.62 | Score: 0.95320386;
Key: 15,3,479,27.76 | Score: 0.8834872;
Key: 7,3,511,20.62 | Score: 0.95001507;
11,0.9505888,0.9595607,9,3,17,27.76
Key: 9,3,17,27.76 | Score: 0.9595607;
Key: 3,3,37,19.54 | Score: 0.95698327;
Key: 6,3,350,28.7 | Score: 0.95500493;
Key: 7,3,271,28.59 | Score: 0.95432967;
Key: 6,3,457,20.62 | Score: 0.95344585;
Key: 6,3,477,20.62 | Score: 0.9532396;
