2018.02.14.11.42.07
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 11,3,234,5.42 | Score: 0.9327844;
Key: 19,3,307,6.71 | Score: 0.82977337;
Key: 4,3,47,15.46 | Score: 0.95348066;
Key: 3,3,377,8.97 | Score: 0.9532685;
Key: 4,3,189,28.4 | Score: 0.95827407;
Key: 14,3,397,4.66 | Score: 0.8943124;
Key: 11,3,86,23.73 | Score: 0.9335909;
Key: 11,3,167,22.23 | Score: 0.9378051;
Key: 2,3,401,13.45 | Score: 0.9542802;
Key: 3,3,179,17.74 | Score: 0.95682335;
Key: 14,3,349,23.59 | Score: 0.9008494;
Key: 20,3,357,22.82 | Score: 0.77412623;
Key: 15,3,229,28.85 | Score: 0.92879057;
Key: 17,3,96,4.76 | Score: 0.9164861;
Key: 8,3,371,26.2 | Score: 0.9487519;
Key: 6,3,408,12.33 | Score: 0.9537354;
Key: 4,3,107,10.74 | Score: 0.9525371;
Key: 21,3,78,18.91 | Score: 0.92273545;
Key: 2,3,7,14.22 | Score: 0.9355869;
Key: 1,3,84,26.44 | Score: 0.9472928;
Key: 21,3,490,18.5 | Score: 0.5866189;
Key: 8,3,451,22.28 | Score: 0.94731563;
Key: 20,3,287,27.67 | Score: 0.79905015;
Key: 20,3,250,27.19 | Score: 0.8011368;
Key: 1,3,153,18.83 | Score: 0.95074415;
0,0.9028059,0.95827407,4,3,189,28.4
Key: 4,3,189,28.4 | Score: 0.95827407;
Key: 3,3,179,17.74 | Score: 0.95682335;
Key: 2,3,401,13.45 | Score: 0.9542802;
Key: 6,3,408,12.33 | Score: 0.9537354;
Key: 4,3,47,15.46 | Score: 0.95348066;
Key: 3,3,377,8.97 | Score: 0.9532685;
Key: 4,3,107,10.74 | Score: 0.9525371;
Key: 1,3,153,18.83 | Score: 0.95074415;
Key: 8,3,371,26.2 | Score: 0.9487519;
Key: 8,3,451,22.28 | Score: 0.94731563;
Key: 1,3,85,26.44 | Score: 0.9473042;
Key: 11,3,167,22.23 | Score: 0.9378051;
Key: 2,3,7,14.22 | Score: 0.9355869;
Key: 3,3,240,18.75 | Score: 0.95688695;
Key: 5,3,187,12.84 | Score: 0.9547224;
Key: 3,3,102,15.01 | Score: 0.9557154;
Key: 4,3,261,19.61 | Score: 0.9567099;
Key: 4,3,277,12.25 | Score: 0.95532674;
Key: 4,3,177,11.72 | Score: 0.9547023;
Key: 3,3,256,19.87 | Score: 0.9569139;
Key: 5,3,309,17.62 | Score: 0.95608956;
Key: 3,3,126,17.34 | Score: 0.95664793;
Key: 4,3,250,19.87 | Score: 0.9567974;
Key: 3,3,321,14.87 | Score: 0.95565194;
Key: 3,3,275,12.63 | Score: 0.9556885;
1,0.9528703,0.95827407,4,3,189,28.4
Key: 4,3,189,28.4 | Score: 0.95827407;
Key: 3,3,256,19.87 | Score: 0.9569139;
Key: 3,3,240,18.75 | Score: 0.95688695;
Key: 3,3,177,17.74 | Score: 0.9568407;
Key: 4,3,250,19.87 | Score: 0.9567974;
Key: 4,3,261,19.61 | Score: 0.9567099;
Key: 3,3,126,17.34 | Score: 0.95664793;
Key: 5,3,309,17.62 | Score: 0.95608956;
Key: 3,3,102,15.01 | Score: 0.9557154;
Key: 3,3,275,12.63 | Score: 0.9556885;
Key: 3,3,321,14.87 | Score: 0.95565194;
Key: 4,3,277,12.25 | Score: 0.95532674;
Key: 5,3,187,12.84 | Score: 0.9547224;
Key: 3,3,207,18.65 | Score: 0.95690614;
Key: 4,3,235,22.63 | Score: 0.9573655;
Key: 4,3,208,21.12 | Score: 0.95716316;
Key: 3,3,182,17.94 | Score: 0.956779;
Key: 4,3,273,19.03 | Score: 0.9569064;
Key: 4,3,208,21.12 | Score: 0.95716316;
Key: 4,3,280,16.71 | Score: 0.95662826;
Key: 3,3,177,17.54 | Score: 0.9567655;
Key: 3,3,174,17.17 | Score: 0.95666337;
Key: 3,3,163,17.32 | Score: 0.9566345;
Key: 3,3,252,19.41 | Score: 0.9569504;
Key: 4,3,230,19.07 | Score: 0.95695895;
2,0.956606,0.95827407,4,3,189,28.4
Key: 4,3,189,28.4 | Score: 0.95827407;
Key: 4,3,235,22.63 | Score: 0.9573655;
Key: 4,3,208,21.12 | Score: 0.95716316;
Key: 4,3,208,21.12 | Score: 0.95716316;
Key: 4,3,230,19.07 | Score: 0.95695895;
Key: 3,3,252,19.41 | Score: 0.9569504;
