2018.02.07.14.50.15
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 15,3,295,5.75 | Score: 0.8886002;
Key: 21,3,307,9.55 | Score: 0.7814571;
Key: 1,3,186,2.81 | Score: 0.94733816;
Key: 17,3,251,28.88 | Score: 0.8925013;
Key: 18,3,153,6.31 | Score: 0.9133293;
Key: 12,3,19,11.05 | Score: 0.94508237;
Key: 2,3,115,23.65 | Score: 0.9552362;
Key: 4,3,81,19.96 | Score: 0.957208;
Key: 5,3,96,9.63 | Score: 0.94792;
Key: 20,3,477,14.03 | Score: 0.60133433;
Key: 20,3,199,27.99 | Score: 0.9227028;
Key: 21,3,436,11.73 | Score: 0.5995672;
Key: 3,3,398,13.29 | Score: 0.95559406;
Key: 5,3,492,9.77 | Score: 0.95415276;
Key: 7,3,44,7.06 | Score: 0.9347835;
Key: 8,3,369,4.82 | Score: 0.9466683;
Key: 3,3,253,20.97 | Score: 0.9569408;
Key: 9,3,168,26.59 | Score: 0.9487021;
Key: 8,3,274,15.06 | Score: 0.95042485;
Key: 11,3,95,21.11 | Score: 0.9325676;
Key: 7,3,154,28.69 | Score: 0.95589805;
Key: 4,3,107,19.02 | Score: 0.9573869;
Key: 4,3,69,4.59 | Score: 0.9436002;
Key: 11,3,417,21.16 | Score: 0.931413;
Key: 18,3,160,14.42 | Score: 0.9204047;
0,0.9056326,0.9573869,4,3,107,19.02
Key: 4,3,107,19.02 | Score: 0.9573869;
Key: 4,3,81,19.96 | Score: 0.957208;
Key: 3,3,253,20.97 | Score: 0.9569408;
Key: 7,3,154,28.69 | Score: 0.95589805;
Key: 3,3,396,13.29 | Score: 0.95559406;
Key: 2,3,115,23.65 | Score: 0.9552362;
Key: 5,3,492,9.77 | Score: 0.95415276;
Key: 8,3,274,15.06 | Score: 0.95042485;
Key: 9,3,168,26.59 | Score: 0.9487021;
Key: 5,3,96,9.63 | Score: 0.94792;
Key: 1,3,186,2.81 | Score: 0.94733816;
Key: 8,3,369,4.82 | Score: 0.9466683;
Key: 12,3,19,11.05 | Score: 0.94508237;
Key: 4,3,88,14.82 | Score: 0.9550311;
Key: 6,3,190,17.05 | Score: 0.9548185;
Key: 4,3,175,15.33 | Score: 0.9562976;
Key: 4,3,445,11.53 | Score: 0.9547198;
Key: 6,3,190,17.05 | Score: 0.9548185;
Key: 6,3,383,12.41 | Score: 0.9540489;
Key: 4,3,299,14.4 | Score: 0.95578784;
Key: 4,3,299,14.4 | Score: 0.95578784;
Key: 4,3,299,14.4 | Score: 0.95578784;
Key: 4,3,175,15.33 | Score: 0.9562976;
Key: 6,3,323,19.24 | Score: 0.95469546;
Key: 4,3,239,16.63 | Score: 0.95670414;
1,0.9537338,0.9573869,4,3,107,19.02
Key: 4,3,107,19.02 | Score: 0.9573869;
Key: 4,3,81,19.96 | Score: 0.957208;
Key: 3,3,253,20.97 | Score: 0.9569408;
Key: 4,3,239,16.63 | Score: 0.95670414;
Key: 4,3,175,15.33 | Score: 0.9562976;
Key: 4,3,175,15.33 | Score: 0.9562976;
Key: 7,3,154,28.69 | Score: 0.95589805;
Key: 4,3,299,14.4 | Score: 0.95578784;
Key: 4,3,299,14.4 | Score: 0.95578784;
Key: 4,3,299,14.4 | Score: 0.95578784;
Key: 3,3,396,13.29 | Score: 0.95559406;
Key: 2,3,115,23.65 | Score: 0.9552362;
Key: 4,3,88,14.82 | Score: 0.9550311;
Key: 4,3,237,14.87 | Score: 0.95605236;
Key: 5,3,130,23.85 | Score: 0.95834464;
Key: 4,3,141,17.18 | Score: 0.9569356;
Key: 4,3,160,18.3 | Score: 0.95741415;
Key: 4,3,128,17.65 | Score: 0.95716715;
Key: 5,3,117,24.32 | Score: 0.9584586;
Key: 3,3,244,18.8 | Score: 0.95690423;
Key: 4,3,175,15.33 | Score: 0.9562976;
Key: 5,3,204,24.83 | Score: 0.95774746;
Key: 6,3,226,21.55 | Score: 0.9560959;
Key: 4,3,237,14.87 | Score: 0.95605236;
Key: 5,3,165,22.01 | Score: 0.9578261;
2,0.95661026,0.9584586,5,3,117,24.32
Key: 5,3,117,24.32 | Score: 0.9584586;
Key: 5,3,130,23.85 | Score: 0.95834464;
Key: 5,3,165,22.01 | Score: 0.9578261;
Key: 5,3,204,24.83 | Score: 0.95774746;
Key: 4,3,160,18.3 | Score: 0.95741415;
Key: 4,3,107,19.02 | Score: 0.9573869;
Key: 4,3,81,19.96 | Score: 0.957208;
Key: 4,3,128,17.65 | Score: 0.95716715;
Key: 3,3,253,20.97 | Score: 0.9569408;
Key: 4,3,141,17.18 | Score: 0.9569356;
Key: 3,3,244,18.8 | Score: 0.95690423;
Key: 4,3,239,16.63 | Score: 0.95670414;
Key: 4,3,175,15.33 | Score: 0.9562976;
Key: 5,3,123,20.99 | Score: 0.95732313;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 4,3,144,17.98 | Score: 0.95740634;
Key: 5,3,129,20.75 | Score: 0.9572859;
Key: 4,3,124,18.1 | Score: 0.9573228;
Key: 4,3,228,22.9 | Score: 0.95739275;
Key: 5,3,123,20.99 | Score: 0.95732313;
Key: 5,3,106,21.91 | Score: 0.9576552;
Key: 4,3,104,18.81 | Score: 0.9573655;
Key: 5,3,184,23.42 | Score: 0.95803624;
Key: 4,3,209,21.49 | Score: 0.9572391;
Key: 4,3,111,18.57 | Score: 0.9574375;
3,0.95741785,0.9584586,5,3,117,24.32
Key: 5,3,117,24.32 | Score: 0.9584586;
Key: 5,3,130,23.85 | Score: 0.95834464;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 5,3,184,23.42 | Score: 0.95803624;
Key: 5,3,165,22.01 | Score: 0.9578261;
Key: 5,3,204,24.83 | Score: 0.95774746;
Key: 5,3,106,21.91 | Score: 0.9576552;
Key: 4,3,111,18.57 | Score: 0.9574375;
Key: 4,3,160,18.3 | Score: 0.95741415;
Key: 4,3,144,17.98 | Score: 0.95740634;
Key: 4,3,230,22.9 | Score: 0.9573655;
Key: 4,3,107,19.02 | Score: 0.9573869;
Key: 4,3,104,18.81 | Score: 0.9573655;
Key: 5,3,150,23.87 | Score: 0.9582837;
Key: 5,3,150,23.87 | Score: 0.9582837;
Key: 5,3,157,23.64 | Score: 0.9581639;
Key: 5,3,156,23.64 | Score: 0.9581718;
Key: 5,3,155,20.0 | Score: 0.9570462;
Key: 5,3,145,22.67 | Score: 0.9580048;
Key: 5,3,115,23.0 | Score: 0.9580578;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 5,3,141,21.2 | Score: 0.9575295;
Key: 4,3,127,18.28 | Score: 0.9574103;
Key: 5,3,127,23.97 | Score: 0.95839185;
Key: 5,3,158,21.7 | Score: 0.9577317;
4,0.95784646,0.9584586,5,3,117,24.32
Key: 5,3,117,24.32 | Score: 0.9584586;
Key: 5,3,127,23.97 | Score: 0.95839185;
Key: 5,3,130,23.85 | Score: 0.95834464;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 5,3,150,23.87 | Score: 0.9582837;
Key: 5,3,150,23.87 | Score: 0.9582837;
Key: 5,3,156,23.64 | Score: 0.9581718;
Key: 5,3,157,23.64 | Score: 0.9581639;
Key: 5,3,115,23.0 | Score: 0.9580578;
Key: 5,3,184,23.42 | Score: 0.95803624;
Key: 5,3,145,22.67 | Score: 0.9580048;
Key: 5,3,165,22.01 | Score: 0.9578261;
Key: 5,3,127,23.97 | Score: 0.95839185;
Key: 5,3,150,23.87 | Score: 0.9582837;
Key: 5,3,133,23.44 | Score: 0.95826215;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,133,23.44 | Score: 0.95826215;
Key: 5,3,140,23.86 | Score: 0.95827;
Key: 5,3,137,23.98 | Score: 0.9583662;
Key: 5,3,120,24.21 | Score: 0.95839566;
Key: 5,3,119,23.55 | Score: 0.9583034;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,140,23.86 | Score: 0.95827;
5,0.95826757,0.9584586,5,3,117,24.32
Key: 5,3,117,24.32 | Score: 0.9584586;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,120,24.21 | Score: 0.95839566;
Key: 5,3,127,23.97 | Score: 0.95839185;
Key: 5,3,127,23.97 | Score: 0.95839185;
Key: 5,3,137,23.98 | Score: 0.9583662;
Key: 5,3,130,23.85 | Score: 0.95834464;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 5,3,119,23.55 | Score: 0.9583034;
Key: 5,3,150,23.87 | Score: 0.9582837;
Key: 5,3,130,24.04 | Score: 0.9583859;
Key: 5,3,128,23.91 | Score: 0.95833486;
Key: 5,3,133,23.98 | Score: 0.9583662;
Key: 5,3,130,24.04 | Score: 0.9583859;
Key: 5,3,121,24.15 | Score: 0.9583623;
Key: 5,3,123,24.09 | Score: 0.9583211;
Key: 5,3,120,24.15 | Score: 0.9583681;
Key: 5,3,135,24.04 | Score: 0.95834655;
Key: 5,3,135,24.04 | Score: 0.95834655;
Key: 5,3,128,24.1 | Score: 0.95831126;
Key: 5,3,130,24.04 | Score: 0.9583859;
Key: 5,3,125,24.03 | Score: 0.9582877;
6,0.9583601,0.9584586,5,3,117,24.32
Key: 5,3,117,24.32 | Score: 0.9584586;
Key: 5,3,132,24.1 | Score: 0.9584095;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,120,24.21 | Score: 0.95839566;
Key: 5,3,126,23.97 | Score: 0.9584134;
Key: 5,3,127,23.97 | Score: 0.95839185;
Key: 5,3,130,24.04 | Score: 0.9583859;
Key: 5,3,130,24.04 | Score: 0.9583859;
Key: 5,3,130,24.04 | Score: 0.9583859;
Key: 5,3,121,24.15 | Score: 0.9583623;
Key: 5,3,137,23.98 | Score: 0.9583662;
Key: 5,3,133,23.98 | Score: 0.9583662;
Key: 5,3,129,24.01 | Score: 0.9583721;
Key: 5,3,127,24.16 | Score: 0.95833087;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,132,24.07 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,132,24.07 | Score: 0.95840746;
Key: 5,3,123,24.18 | Score: 0.95836425;
Key: 5,3,123,24.18 | Score: 0.95836425;
Key: 5,3,132,24.07 | Score: 0.95840746;
Key: 5,3,130,24.04 | Score: 0.9583859;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,125,24.13 | Score: 0.95833087;
7,0.9583891,0.9584586,5,3,117,24.32
Key: 5,3,117,24.32 | Score: 0.9584586;
Key: 5,3,126,23.97 | Score: 0.9584134;
Key: 5,3,132,24.1 | Score: 0.9584095;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,132,24.07 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,132,24.07 | Score: 0.95840746;
Key: 5,3,132,24.07 | Score: 0.95840746;
Key: 5,3,133,24.1 | Score: 0.95840746;
Key: 5,3,120,24.21 | Score: 0.95839566;
Key: 5,3,127,23.97 | Score: 0.95839185;
